timestamp,source_ip,server,username,service,attempts,status,port,protocol,comment,anomaly_label,delta_t
2023-01-01 01:00:02.996833,45.183.169.246,web-sgp-02,aanthony,ssh,1,Failed,22.0,SSH2,User aanthony login,normal,
2023-01-01 01:00:04.229377,95.139.239.130,db-ber-01,aanthony,login,1,Success,22.0,SSH2,User aanthony login,normal,1.232544
2023-01-01 01:00:05.155220,57.5.233.53,srv-tok-03,aanthony,ssh,1,Failed,22.0,SSH2,User aanthony login,normal,0.925843
2023-01-01 01:00:05.176084,119.91.253.95,srv-tok-03,aanthony,login,1,Failed,22.0,SSH2,User aanthony login,normal,0.020864
2023-01-01 01:00:07.941097,213.36.119.94,srv-nyc-01,aanthony,login,1,Failed,22.0,SSH2,User aanthony login,normal,2.765013
2023-01-01 01:00:08.306386,77.177.205.212,web-sgp-02,aanthony,login,1,Failed,22.0,SSH2,User aanthony login,normal,0.365289
2023-01-01 01:00:08.404851,41.135.155.3,srv-ldn-02,aanthony,cron,1,Success,22.0,SSH2,User aanthony login,normal,0.098465
2023-01-01 01:00:08.414851,198.67.104.84,srv-tok-03,aanthony,login,1,Success,22.0,SSH2,User aanthony login,normal,0.01
2023-01-01 01:00:08.439477,33.93.28.132,srv-tok-03,aanthony,login,1,Success,22.0,SSH2,User aanthony login,normal,0.024626
2023-01-01 01:00:08.504861,95.36.245.20,web-sgp-02,aanthony,login,1,Success,22.0,SSH2,User aanthony login,normal,0.065384
2023-01-01 01:00:08.547220,111.36.121.246,db-ber-01,aanthony,ssh,1,Failed,22.0,SSH2,User aanthony login,normal,0.042359
2023-01-01 01:00:08.557220,194.156.129.121,srv-ldn-02,aanthony,ssh,1,Success,22.0,SSH2,User aanthony login,normal,0.01
2023-01-01 01:00:08.617809,54.204.213.236,srv-ldn-02,aanthony,cron,1,Failed,22.0,SSH2,User aanthony login,normal,0.060589
2023-01-01 01:00:08.686679,195.203.139.121,srv-ldn-02,aanthony,cron,1,Failed,22.0,SSH2,User aanthony login,normal,0.06887
2023-01-01 01:00:08.719803,168.141.14.92,web-sgp-02,aanthony,cron,1,Failed,22.0,SSH2,User aanthony login,normal,0.033124
2023-01-01 01:00:08.751640,199.217.107.36,db-ber-01,aanthony,cron,1,Success,22.0,SSH2,User aanthony login,normal,0.031837
2023-01-01 01:00:08.788707,204.52.155.15,db-ber-01,aanthony,cron,1,Success,22.0,SSH2,User aanthony login,normal,0.037067
2023-01-01 01:00:08.840292,4.145.83.232,srv-nyc-01,aanthony,login,1,Success,22.0,SSH2,User aanthony login,normal,0.051585
2023-01-01 01:00:08.879025,90.254.227.11,srv-ldn-02,aanthony,ssh,1,Success,22.0,SSH2,User aanthony login,normal,0.038733
2023-01-01 01:00:08.970952,136.244.109.151,srv-nyc-01,aanthony,login,1,Success,22.0,SSH2,User aanthony login,normal,0.091927
2023-01-01 01:00:08.993315,111.176.238.26,srv-ldn-02,aanthony,cron,1,Failed,22.0,SSH2,User aanthony login,normal,0.022363
2023-01-01 01:00:09.080407,174.175.0.178,srv-ldn-02,aanthony,cron,1,Success,22.0,SSH2,User aanthony login,normal,0.087092
2023-01-01 01:00:10.342352,210.245.71.191,srv-tok-03,aanthony,login,1,Failed,22.0,SSH2,User aanthony login,normal,1.261945
2023-01-01 01:00:13.839159,149.104.85.30,db-ber-01,aanthony,ssh,1,Success,22.0,SSH2,User aanthony login,normal,3.496807
2023-01-01 01:00:15.203287,170.201.141.17,srv-ldn-02,aanthony,login,1,Failed,22.0,SSH2,User aanthony login,normal,1.364128
2023-01-01 00:41:06.978814,132.106.168.78,srv-ldn-02,aaron06,cron,1,Success,22.0,SSH2,User aaron06 login,normal,
2023-01-01 00:41:07.042649,99.92.34.200,web-sgp-02,aaron06,ssh,1,Failed,22.0,SSH2,User aaron06 login,normal,0.063835
2023-01-01 00:41:07.868174,103.197.7.3,srv-nyc-01,aaron06,login,1,Success,22.0,SSH2,User aaron06 login,normal,0.825525
2023-01-01 00:41:07.878174,113.69.153.5,srv-nyc-01,aaron06,cron,1,Failed,22.0,SSH2,User aaron06 login,normal,0.01
2023-01-01 00:41:08.850811,142.189.184.243,db-ber-01,aaron06,cron,1,Success,22.0,SSH2,User aaron06 login,normal,0.972637
2023-01-01 00:41:09.197629,142.213.205.157,srv-tok-03,aaron06,ssh,1,Success,22.0,SSH2,User aaron06 login,normal,0.346818
2023-01-01 00:41:12.850762,122.111.27.75,srv-ldn-02,aaron06,login,1,Success,22.0,SSH2,User aaron06 login,normal,3.653133
2023-01-01 00:41:12.866445,203.169.78.117,srv-ldn-02,aaron06,ssh,1,Failed,22.0,SSH2,User aaron06 login,normal,0.015683
2023-01-01 00:41:12.887302,99.173.189.69,web-sgp-02,aaron06,cron,1,Success,22.0,SSH2,User aaron06 login,normal,0.020857
2023-01-01 00:41:17.457150,53.188.198.174,srv-ldn-02,aaron06,login,1,Success,22.0,SSH2,User aaron06 login,normal,4.569848
2023-01-01 00:41:22.993486,61.132.248.20,srv-nyc-01,aaron06,login,1,Success,22.0,SSH2,User aaron06 login,normal,5.536336
2023-01-01 00:41:23.053868,193.133.215.82,srv-ldn-02,aaron06,cron,1,Failed,22.0,SSH2,User aaron06 login,normal,0.060382
2023-01-01 00:41:23.112017,85.7.131.162,web-sgp-02,aaron06,cron,1,Failed,22.0,SSH2,User aaron06 login,normal,0.058149
2023-01-01 00:41:28.026158,101.76.245.92,srv-ldn-02,aaron06,cron,1,Failed,22.0,SSH2,User aaron06 login,normal,4.914141
2023-01-01 00:41:28.081023,114.144.54.198,web-sgp-02,aaron06,cron,1,Failed,22.0,SSH2,User aaron06 login,normal,0.054865
