Timestamp,Source IP,Destination IP,Source Port,Destination Port,Protocol,Log Type
2023-06-25 06:40:23,130.15.37.33,213.151.155.249,44986,38245,SSH,Virtualization
2023-06-21 17:08:55,63.194.172.66,243.81.26.11,45041,30068,HTTP,Virtualization
2023-06-12 08:16:06,112.119.245.144,187.243.163.160,1147,34077,MySQL,Virtualization
2023-06-20 07:26:00,179.10.117.185,175.195.194.212,9748,27009,MySQL,Virtualization
2023-06-24 05:18:15,151.190.18.31,157.36.233.63,27659,18988,SMTP,Virtualization
2023-06-03 15:51:37,216.106.63.113,105.160.252.99,16831,53388,SMTP,Virtualization
2023-06-02 14:46:03,203.254.192.132,25.222.120.28,8894,36812,MySQL,Virtualization
2023-06-26 16:00:47,251.209.206.235,243.69.245.211,19960,33840,FTP,Virtualization
2023-06-02 00:42:06,243.56.194.224,2.176.148.100,41779,60932,FTP,Virtualization
2023-06-30 20:49:46,237.237.227.252,76.39.162.187,56489,60439,FTP,Virtualization
2023-06-22 12:14:25,217.208.87.212,211.22.237.191,45122,9202,HTTP,Virtualization
2023-06-13 00:22:38,44.63.36.77,177.0.59.197,39040,33849,SSH,Virtualization
2023-06-03 14:50:02,201.51.135.81,88.243.132.59,6082,8905,HTTP,Virtualization
2023-06-14 15:12:05,88.74.62.64,89.76.216.11,9886,47795,MySQL,Virtualization
2023-06-30 21:26:38,111.202.184.81,179.244.106.27,63995,10621,SSH,Virtualization
2023-06-30 19:51:36,237.6.247.35,96.117.8.192,50195,38300,FTP,Virtualization
2023-06-06 18:31:24,242.242.55.28,24.36.12.63,48391,21634,FTP,Virtualization
2023-06-10 07:29:15,219.4.209.182,248.83.125.120,50138,24710,MySQL,Virtualization
2023-06-02 12:27:35,233.73.237.143,124.131.23.99,42331,10704,MySQL,Virtualization
2023-06-14 17:37:48,132.149.75.251,168.4.12.139,33297,43131,MySQL,Virtualization
2023-06-24 09:52:12,25.204.141.71,77.202.135.48,55512,34103,FTP,Virtualization
2023-06-29 10:23:32,122.13.203.216,100.28.18.231,51588,62605,SMTP,Virtualization
2023-06-25 12:47:38,135.7.64.181,66.51.209.179,64418,52132,MySQL,Virtualization
2023-06-13 07:41:08,63.130.45.192,120.158.107.46,34464,52971,FTP,Virtualization
2023-06-22 21:05:50,233.139.186.246,1.186.27.137,29296,58066,FTP,Virtualization
2023-06-01 10:21:59,120.10.12.155,60.122.9.68,64750,30372,SMTP,Virtualization
2023-06-25 04:17:19,45.134.214.26,63.45.16.129,17613,63502,SMTP,Virtualization
2023-06-05 12:31:23,114.99.72.184,158.126.24.208,1353,42571,FTP,Virtualization
2023-06-07 18:51:24,199.17.94.86,141.241.14.172,37188,52624,SMTP,Virtualization
2023-06-06 12:53:11,27.172.82.249,135.90.224.253,59570,41331,FTP,Virtualization
2023-06-30 18:29:50,201.206.18.5,250.255.153.214,62230,59272,HTTP,Virtualization
2023-06-22 01:20:29,11.216.173.158,160.20.11.77,56244,18077,FTP,Virtualization
2023-06-12 09:49:19,140.234.74.229,18.163.45.132,61047,59282,HTTP,Virtualization
2023-06-17 13:04:30,20.249.115.131,189.58.195.87,62150,30573,SMTP,Virtualization
2023-06-02 16:16:07,234.96.253.216,148.207.220.243,62752,20300,SSH,Virtualization
2023-06-16 01:18:23,127.239.171.5,127.153.147.248,55367,32899,HTTP,Virtualization
2023-06-15 01:53:26,58.235.110.20,184.77.77.32,29785,52409,SMTP,Virtualization
