index,phase,preferred_agent,reassignments,run_id,status,utility_agent-alpha,utility_agent-beta,utility_agent-gamma,winner
0,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.845,0.845,0.845,agent-alpha
1,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.903331,0.845,0.845,agent-alpha
2,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.919998,0.845,0.845,agent-alpha
3,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.929998,0.845,0.845,agent-alpha
4,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.936664,0.845,0.845,agent-alpha
5,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.941426,0.845,0.845,agent-alpha
6,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.944998,0.845,0.845,agent-alpha
7,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.947776,0.845,0.845,agent-alpha
8,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.949998,0.845,0.845,agent-alpha
9,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.951816,0.845,0.845,agent-alpha
10,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.953331,0.845,0.845,agent-alpha
11,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.954613,0.845,0.845,agent-alpha
12,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.955712,0.845,0.845,agent-alpha
13,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.956665,0.845,0.845,agent-alpha
14,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.957498,0.845,0.845,agent-alpha
15,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.958233,0.845,0.845,agent-alpha
16,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.958887,0.845,0.845,agent-alpha
17,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.959472,0.845,0.845,agent-alpha
18,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.959998,0.845,0.845,agent-alpha
19,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.960474,0.845,0.845,agent-alpha
20,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.960907,0.845,0.845,agent-alpha
21,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.961302,0.845,0.845,agent-alpha
22,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.961664,0.845,0.845,agent-alpha
23,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.961998,0.845,0.845,agent-alpha
24,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.962304,0.845,0.845,agent-alpha
25,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.962589,0.845,0.845,agent-alpha
26,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.962854,0.845,0.845,agent-alpha
27,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.9631,0.845,0.845,agent-alpha
28,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.96333,0.845,0.845,agent-alpha
29,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.963545,0.845,0.845,agent-alpha
30,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.963747,0.845,0.845,agent-alpha
31,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.963936,0.845,0.845,agent-alpha
32,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.964114,0.845,0.845,agent-alpha
33,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.964282,0.845,0.845,agent-alpha
34,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.964441,0.845,0.845,agent-alpha
35,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.964591,0.845,0.845,agent-alpha
36,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.964733,0.845,0.845,agent-alpha
37,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.964868,0.845,0.845,agent-alpha
38,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.964996,0.845,0.845,agent-alpha
39,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.965118,0.845,0.845,agent-alpha
40,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.965235,0.845,0.845,agent-alpha
41,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.965345,0.845,0.845,agent-alpha
42,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.965451,0.845,0.845,agent-alpha
43,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.965552,0.845,0.845,agent-alpha
44,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.965649,0.845,0.845,agent-alpha
45,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.965741,0.845,0.845,agent-alpha
46,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.96583,0.845,0.845,agent-alpha
47,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.965915,0.845,0.845,agent-alpha
48,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.965997,0.845,0.845,agent-alpha
49,1,agent-alpha,0,ma_20260909T160812Z_34016,ok,0.966075,0.845,0.845,agent-alpha
