index,phase,preferred_agent,reassignments,run_id,status,utility_agent-alpha,utility_agent-beta,utility_agent-gamma,winner
0,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.845,0.845,0.845,agent-alpha
1,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.903331,0.845,0.845,agent-alpha
2,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.919998,0.845,0.845,agent-alpha
3,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.929998,0.845,0.845,agent-alpha
4,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.936665,0.845,0.845,agent-alpha
5,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.941427,0.845,0.845,agent-alpha
6,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.944998,0.845,0.845,agent-alpha
7,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.947776,0.845,0.845,agent-alpha
8,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.949998,0.845,0.845,agent-alpha
9,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.951816,0.845,0.845,agent-alpha
10,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.953331,0.845,0.845,agent-alpha
11,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.954613,0.845,0.845,agent-alpha
12,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.955712,0.845,0.845,agent-alpha
13,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.956665,0.845,0.845,agent-alpha
14,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.957498,0.845,0.845,agent-alpha
15,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.958233,0.845,0.845,agent-alpha
16,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.958887,0.845,0.845,agent-alpha
17,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.959472,0.845,0.845,agent-alpha
18,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.959998,0.845,0.845,agent-alpha
19,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.960474,0.845,0.845,agent-alpha
20,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.960907,0.845,0.845,agent-alpha
21,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.961302,0.845,0.845,agent-alpha
22,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.961665,0.845,0.845,agent-alpha
23,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.961998,0.845,0.845,agent-alpha
24,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.962306,0.845,0.845,agent-alpha
25,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.962591,0.845,0.845,agent-alpha
26,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.962855,0.845,0.845,agent-alpha
27,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.963101,0.845,0.845,agent-alpha
28,1,agent-alpha,0,ma_20260909T154523Z_13604,ok,0.963331,0.845,0.845,agent-alpha
