index,phase,preferred_agent,reassignments,run_id,status,utility_agent-alpha,utility_agent-beta,utility_agent-gamma,winner
0,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.845,0.845,0.845,agent-alpha
1,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.903328,0.845,0.845,agent-alpha
2,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.919995,0.845,0.845,agent-alpha
3,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.929994,0.845,0.845,agent-alpha
4,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.936661,0.845,0.845,agent-alpha
5,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.941424,0.845,0.845,agent-alpha
6,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.944995,0.845,0.845,agent-alpha
7,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.947773,0.845,0.845,agent-alpha
8,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.949995,0.845,0.845,agent-alpha
9,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.951813,0.845,0.845,agent-alpha
10,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.953329,0.845,0.845,agent-alpha
11,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.954611,0.845,0.845,agent-alpha
12,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.95571,0.845,0.845,agent-alpha
13,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.956662,0.845,0.845,agent-alpha
14,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.957496,0.845,0.845,agent-alpha
15,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.958231,0.845,0.845,agent-alpha
16,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.958885,0.845,0.845,agent-alpha
17,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.959469,0.845,0.845,agent-alpha
18,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.959996,0.845,0.845,agent-alpha
19,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.960472,0.845,0.845,agent-alpha
20,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.960905,0.845,0.845,agent-alpha
21,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.9613,0.845,0.845,agent-alpha
22,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.961662,0.845,0.845,agent-alpha
23,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.961996,0.845,0.845,agent-alpha
24,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.962304,0.845,0.845,agent-alpha
25,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.962588,0.845,0.845,agent-alpha
26,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.962853,0.845,0.845,agent-alpha
27,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.963099,0.845,0.845,agent-alpha
28,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.963329,0.845,0.845,agent-alpha
29,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.963544,0.845,0.845,agent-alpha
30,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.963746,0.845,0.845,agent-alpha
31,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.963935,0.845,0.845,agent-alpha
32,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.964113,0.845,0.845,agent-alpha
33,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.964282,0.845,0.845,agent-alpha
34,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.96444,0.845,0.845,agent-alpha
35,1,agent-alpha,0,ma_20260909T153649Z_47552,ok,0.96459,0.845,0.845,agent-alpha
