run_id,architecture,architecture_label,load,repetition,seed,status,successful_tasks,failed_tasks,duration_sec,throughput_tasks_sec,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,cpu_time_sec,cpu_core_equivalent_percent,cpu_machine_normalized_percent,rss_start_mb,rss_end_mb,rss_peak_mb,cfp,propose,refuse,award,reject,accept,result,fail,feedback,cnp_messages_total,messages_per_task,reassignments,jain_fairness,recovered_tasks,duplicate_effects,pending_final,lag_final,error
ma_20260909T154523Z_13604,A,monolith,100,0,741941,ok,100,0,0.001052,95066.062474,0.00591,0.0044,0.007605,0.021745,0.015625,1485.407226,185.675903,175.402344,175.507812,175.507812,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,
ma_20260909T154523Z_13604,B,centralized_workers,100,0,741941,ok,100,0,0.008295,12055.309665,0.005645,0.0045,0.01504,0.021038,0.0,0.0,0.0,175.585938,175.878906,175.878906,0,0,0,0,0,0,0,0,0,0,0.0,0,0.9998,0,0,0,0,
ma_20260909T154523Z_13604,C,autonomous_memory_off,100,0,741941,ok,100,0,0.181147,552.036324,1.84945,0.5255,1.8472,38.20181,0.09375,51.753405,6.469176,175.863281,177.226562,177.300781,100,300,0,100,200,100,100,0,100,1000,10.0,0,0.888889,0,0,0,0,
ma_20260909T154523Z_13604,D,autonomous_memory_on,100,0,741941,ok,100,0,0.138214,723.514137,2.40963,0.5175,1.54315,73.36318,0.140625,101.744176,12.718022,177.261719,177.292969,177.644531,100,300,0,100,200,100,100,0,100,1000,10.0,0,0.888889,0,0,0,0,
ma_20260909T154523Z_13604,A,monolith,100,1,741942,ok,100,0,0.002792,35810.206428,0.012387,0.0104,0.024305,0.041734,0.0,0.0,0.0,177.734375,177.757812,177.757812,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,
ma_20260909T154523Z_13604,B,centralized_workers,100,1,741942,ok,100,0,0.005393,18541.867233,0.00503,0.004,0.01102,0.020771,0.0,0.0,0.0,177.421875,177.511719,177.511719,0,0,0,0,0,0,0,0,0,0,0.0,0,0.9998,0,0,0,0,
ma_20260909T154523Z_13604,C,autonomous_memory_off,100,1,741942,ok,100,0,0.061103,1636.570143,1.00496,0.422,0.92275,17.53249,0.0625,102.285634,12.785704,177.464844,177.527344,177.601562,100,300,0,100,200,100,100,0,100,1000,10.0,0,0.77918,0,0,0,0,
ma_20260909T154523Z_13604,D,autonomous_memory_on,100,1,741942,ok,100,0,0.06184,1617.071097,1.23641,0.4275,1.0785,28.24795,0.078125,126.333679,15.79171,177.511719,177.75,177.75,100,300,0,100,200,100,100,0,100,1000,10.0,0,0.888889,0,0,0,0,
ma_20260909T154523Z_13604,A,monolith,100,2,741943,ok,100,0,0.002604,38396.55907,0.013119,0.0103,0.03442,0.047816,0.015625,599.946235,74.993279,178.078125,178.09375,178.09375,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,
ma_20260909T154523Z_13604,B,centralized_workers,100,2,741943,ok,100,0,0.005121,19527.817399,0.00549,0.0045,0.014255,0.019013,0.0,0.0,0.0,178.082031,178.113281,178.113281,0,0,0,0,0,0,0,0,0,0,0.0,0,0.9998,0,0,0,0,
