index,phase,preferred_agent,reassignments,run_id,status,utility_agent-alpha,utility_agent-beta,utility_agent-gamma,winner
0,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.845,0.845,0.845,agent-alpha
1,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.903332,0.845,0.845,agent-alpha
2,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.919998,0.845,0.845,agent-alpha
3,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.929998,0.845,0.845,agent-alpha
4,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.936665,0.845,0.845,agent-alpha
5,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.941427,0.845,0.845,agent-alpha
6,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.944998,0.845,0.845,agent-alpha
7,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.947776,0.845,0.845,agent-alpha
8,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.949998,0.845,0.845,agent-alpha
9,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.951817,0.845,0.845,agent-alpha
10,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.953332,0.845,0.845,agent-alpha
11,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.954614,0.845,0.845,agent-alpha
12,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.955713,0.845,0.845,agent-alpha
13,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.956665,0.845,0.845,agent-alpha
14,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.957498,0.845,0.845,agent-alpha
15,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.958234,0.845,0.845,agent-alpha
16,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.958887,0.845,0.845,agent-alpha
17,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.959472,0.845,0.845,agent-alpha
18,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.959998,0.845,0.845,agent-alpha
19,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.960474,0.845,0.845,agent-alpha
20,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.960907,0.845,0.845,agent-alpha
21,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.961303,0.845,0.845,agent-alpha
22,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.961665,0.845,0.845,agent-alpha
