run_id,architecture,load,repetition,seed,task_id,agent_id,status,latency_ms,error
ma_20260909T160717Z_46836,A,4,0,732341,paired-732341-4-0,monolith,ok,0.040400074794888496,
ma_20260909T160717Z_46836,A,4,0,732341,paired-732341-4-1,monolith,ok,0.018900027498602867,
ma_20260909T160717Z_46836,A,4,0,732341,paired-732341-4-2,monolith,ok,0.015099998563528061,
ma_20260909T160717Z_46836,A,4,0,732341,paired-732341-4-3,monolith,ok,0.016799895092844963,
ma_20260909T160717Z_46836,B,4,0,732341,paired-732341-4-0,central-worker-1,ok,0.01209997572004795,
ma_20260909T160717Z_46836,B,4,0,732341,paired-732341-4-1,central-worker-2,ok,0.013999990187585354,
ma_20260909T160717Z_46836,B,4,0,732341,paired-732341-4-2,central-worker-3,ok,0.006499933078885078,
ma_20260909T160717Z_46836,B,4,0,732341,paired-732341-4-3,central-worker-1,ok,0.020400038920342922,
ma_20260909T160717Z_46836,C,4,0,732341,paired-732341-4-1,agent-beta,ok,1.913,
ma_20260909T160717Z_46836,C,4,0,732341,paired-732341-4-2,agent-gamma,ok,1.092,
ma_20260909T160717Z_46836,C,4,0,732341,paired-732341-4-0,agent-alpha,ok,1.817,
ma_20260909T160717Z_46836,C,4,0,732341,paired-732341-4-3,agent-gamma,ok,0.597,
ma_20260909T160717Z_46836,D,4,0,732341,paired-732341-4-1,agent-beta,ok,0.423,
ma_20260909T160717Z_46836,D,4,0,732341,paired-732341-4-0,agent-alpha,ok,0.5419999999999999,
ma_20260909T160717Z_46836,D,4,0,732341,paired-732341-4-2,agent-gamma,ok,0.40099999999999997,
ma_20260909T160717Z_46836,D,4,0,732341,paired-732341-4-3,agent-gamma,ok,0.5429999999999999,
