task_index,task_id,task_type,submitted_at,completed_at,campaign_elapsed_sec,winner,status,latency_ms,reassignments,proposals_json,refusals_json,result_pid,result_host,idempotency_replayed
0,cnp_endurance_multivm_20260918T124650Z-task-0000000,parse.synthetic,2026-09-18T12:59:04.747634+00:00,2026-09-18T12:59:04.876760+00:00,0.141,debian-alpha,ok,128.139,0,"{""debian-alpha"": 0.86, ""ubuntu-beta"": 0.809}",{},2659,andy,False
1,cnp_endurance_multivm_20260918T124650Z-task-0000001,route.synthetic,2026-09-18T12:59:04.936365+00:00,2026-09-18T12:59:05.090338+00:00,0.344,ubuntu-beta,ok,153.786,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.863}",{},2346,andy-VirtualBox,False
2,cnp_endurance_multivm_20260918T124650Z-task-0000002,detect.synthetic,2026-09-18T12:59:05.147398+00:00,2026-09-18T12:59:05.356289+00:00,0.609,ubuntu-beta,ok,208.858,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.839}",{},2346,andy-VirtualBox,False
3,cnp_endurance_multivm_20260918T124650Z-task-0000003,correlate.synthetic,2026-09-18T12:59:05.356952+00:00,2026-09-18T12:59:05.522182+00:00,0.781,ubuntu-beta,ok,164.472,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.821}",{},2346,andy-VirtualBox,False
4,cnp_endurance_multivm_20260918T124650Z-task-0000004,parse.synthetic,2026-09-18T12:59:05.545911+00:00,2026-09-18T12:59:05.764365+00:00,1.031,debian-alpha,ok,219.501,0,"{""debian-alpha"": 0.916326, ""ubuntu-beta"": 0.809}",{},2659,andy,False
5,cnp_endurance_multivm_20260918T124650Z-task-0000005,route.synthetic,2026-09-18T12:59:05.765882+00:00,2026-09-18T12:59:06.048916+00:00,1.312,ubuntu-beta,ok,283.257,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.918959}",{},2346,andy-VirtualBox,False
6,cnp_endurance_multivm_20260918T124650Z-task-0000006,detect.synthetic,2026-09-18T12:59:06.048916+00:00,2026-09-18T12:59:06.350959+00:00,1.609,ubuntu-beta,ok,300.997,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.892324}",{},2346,andy-VirtualBox,False
7,cnp_endurance_multivm_20260918T124650Z-task-0000007,correlate.synthetic,2026-09-18T12:59:06.350959+00:00,2026-09-18T12:59:06.545456+00:00,1.812,ubuntu-beta,ok,194.459,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.876363}",{},2346,andy-VirtualBox,False
8,cnp_endurance_multivm_20260918T124650Z-task-0000008,parse.synthetic,2026-09-18T12:59:06.546100+00:00,2026-09-18T12:59:06.862275+00:00,2.125,debian-alpha,ok,316.111,0,"{""debian-alpha"": 0.932053, ""ubuntu-beta"": 0.809}",{},2659,andy,False
9,cnp_endurance_multivm_20260918T124650Z-task-0000009,route.synthetic,2026-09-18T12:59:06.862275+00:00,2026-09-18T12:59:07.069947+00:00,2.328,ubuntu-beta,ok,207.924,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.934235}",{},2346,andy-VirtualBox,False
