task_index,task_id,task_type,submitted_at,completed_at,campaign_elapsed_sec,winner,status,latency_ms,reassignments,proposals_json,refusals_json,result_pid,result_host,idempotency_replayed
0,cnp_endurance_multivm_20260918T130822Z-task-0000000,parse.synthetic,2026-09-18T13:13:37.819752+00:00,2026-09-18T13:13:38.996438+00:00,1.188,debian-alpha,ok,1176.322,0,"{""debian-alpha"": 0.86, ""ubuntu-beta"": 0.809}",{},2875,andy,False
1,cnp_endurance_multivm_20260918T130822Z-task-0000001,route.synthetic,2026-09-18T13:13:39.809114+00:00,2026-09-18T13:13:39.898337+00:00,2.094,ubuntu-beta,ok,89.443,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.863}",{},2874,andy-VirtualBox,False
2,cnp_endurance_multivm_20260918T130822Z-task-0000002,detect.synthetic,2026-09-18T13:13:41.800419+00:00,2026-09-18T13:13:41.886840+00:00,4.079,ubuntu-beta,ok,86.642,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.839}",{},2874,andy-VirtualBox,False
3,cnp_endurance_multivm_20260918T130822Z-task-0000003,correlate.synthetic,2026-09-18T13:13:43.795990+00:00,2026-09-18T13:13:43.880615+00:00,6.079,ubuntu-beta,ok,85.02,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.821}",{},2874,andy-VirtualBox,False
4,cnp_endurance_multivm_20260918T130822Z-task-0000004,parse.synthetic,2026-09-18T13:13:45.805451+00:00,2026-09-18T13:13:45.949443+00:00,8.141,debian-alpha,ok,144.381,0,"{""debian-alpha"": 0.907389, ""ubuntu-beta"": 0.809}",{},2875,andy,False
5,cnp_endurance_multivm_20260918T130822Z-task-0000005,route.synthetic,2026-09-18T13:13:47.796449+00:00,2026-09-18T13:13:47.889813+00:00,10.094,ubuntu-beta,ok,92.847,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.919965}",{},2874,andy-VirtualBox,False
6,cnp_endurance_multivm_20260918T130822Z-task-0000006,detect.synthetic,2026-09-18T13:13:49.798624+00:00,2026-09-18T13:13:49.894013+00:00,12.094,ubuntu-beta,ok,95.228,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.895824}",{},2874,andy-VirtualBox,False
7,cnp_endurance_multivm_20260918T130822Z-task-0000007,correlate.synthetic,2026-09-18T13:13:51.804102+00:00,2026-09-18T13:13:51.875661+00:00,14.079,ubuntu-beta,ok,71.779,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.878222}",{},2874,andy-VirtualBox,False
8,cnp_endurance_multivm_20260918T130822Z-task-0000008,parse.synthetic,2026-09-18T13:13:53.801439+00:00,2026-09-18T13:13:53.867964+00:00,16.063,debian-alpha,ok,66.673,0,"{""debian-alpha"": 0.928281, ""ubuntu-beta"": 0.809}",{},2875,andy,False
9,cnp_endurance_multivm_20260918T130822Z-task-0000009,route.synthetic,2026-09-18T13:13:55.807888+00:00,2026-09-18T13:13:55.899741+00:00,18.094,ubuntu-beta,ok,92.249,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.936841}",{},2874,andy-VirtualBox,False
10,cnp_endurance_multivm_20260918T130822Z-task-0000010,detect.synthetic,2026-09-18T13:13:57.809646+00:00,2026-09-18T13:13:57.907703+00:00,20.11,ubuntu-beta,ok,98.539,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.912661}",{},2874,andy-VirtualBox,False
11,cnp_endurance_multivm_20260918T130822Z-task-0000011,correlate.synthetic,2026-09-18T13:13:59.800799+00:00,2026-09-18T13:13:59.862022+00:00,22.063,ubuntu-beta,ok,61.198,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.894919}",{},2874,andy-VirtualBox,False
12,cnp_endurance_multivm_20260918T130822Z-task-0000012,parse.synthetic,2026-09-18T13:14:01.802796+00:00,2026-09-18T13:14:01.877629+00:00,24.079,debian-alpha,ok,74.703,0,"{""debian-alpha"": 0.940095, ""ubuntu-beta"": 0.809}",{},2875,andy,False
13,cnp_endurance_multivm_20260918T130822Z-task-0000013,route.synthetic,2026-09-18T13:14:03.802829+00:00,2026-09-18T13:14:03.862825+00:00,26.063,ubuntu-beta,ok,59.881,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.946852}",{},2874,andy-VirtualBox,False
14,cnp_endurance_multivm_20260918T130822Z-task-0000014,detect.synthetic,2026-09-18T13:14:05.803772+00:00,2026-09-18T13:14:05.878613+00:00,28.079,ubuntu-beta,ok,75.726,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.922673}",{},2874,andy-VirtualBox,False
15,cnp_endurance_multivm_20260918T130822Z-task-0000015,correlate.synthetic,2026-09-18T13:14:07.804062+00:00,2026-09-18T13:14:07.931547+00:00,30.125,ubuntu-beta,ok,128.033,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.905005}",{},2874,andy-VirtualBox,False
16,cnp_endurance_multivm_20260918T130822Z-task-0000016,parse.synthetic,2026-09-18T13:14:09.794536+00:00,2026-09-18T13:14:09.854919+00:00,32.047,debian-alpha,ok,60.223,0,"{""debian-alpha"": 0.94775, ""ubuntu-beta"": 0.809}",{},2875,andy,False
17,cnp_endurance_multivm_20260918T130822Z-task-0000017,route.synthetic,2026-09-18T13:14:11.794452+00:00,2026-09-18T13:14:11.861860+00:00,34.063,ubuntu-beta,ok,67.581,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.953532}",{},2874,andy-VirtualBox,False
18,cnp_endurance_multivm_20260918T130822Z-task-0000018,detect.synthetic,2026-09-18T13:14:13.802334+00:00,2026-09-18T13:14:13.879070+00:00,36.079,ubuntu-beta,ok,76.562,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.9294}",{},2874,andy-VirtualBox,False
19,cnp_endurance_multivm_20260918T130822Z-task-0000019,correlate.synthetic,2026-09-18T13:14:15.808973+00:00,2026-09-18T13:14:15.875390+00:00,38.079,ubuntu-beta,ok,66.606,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.911382}",{},2874,andy-VirtualBox,False
20,cnp_endurance_multivm_20260918T130822Z-task-0000020,parse.synthetic,2026-09-18T13:14:17.807690+00:00,2026-09-18T13:14:17.914015+00:00,40.11,debian-alpha,ok,106.43,0,"{""debian-alpha"": 0.953084, ""ubuntu-beta"": 0.809}",{},2875,andy,False
21,cnp_endurance_multivm_20260918T130822Z-task-0000021,route.synthetic,2026-09-18T13:14:19.797321+00:00,2026-09-18T13:14:19.930304+00:00,42.125,ubuntu-beta,ok,132.448,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.958328}",{},2874,andy-VirtualBox,False
22,cnp_endurance_multivm_20260918T130822Z-task-0000022,detect.synthetic,2026-09-18T13:14:21.810007+00:00,2026-09-18T13:14:21.875758+00:00,44.079,ubuntu-beta,ok,65.557,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.934173}",{},2874,andy-VirtualBox,False
23,cnp_endurance_multivm_20260918T130822Z-task-0000023,correlate.synthetic,2026-09-18T13:14:23.800650+00:00,2026-09-18T13:14:23.900834+00:00,46.094,ubuntu-beta,ok,100.174,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.916211}",{},2874,andy-VirtualBox,False
24,cnp_endurance_multivm_20260918T130822Z-task-0000024,parse.synthetic,2026-09-18T13:14:25.809565+00:00,2026-09-18T13:14:25.874961+00:00,48.079,debian-alpha,ok,66.126,0,"{""debian-alpha"": 0.956996, ""ubuntu-beta"": 0.809}",{},2875,andy,False
25,cnp_endurance_multivm_20260918T130822Z-task-0000025,route.synthetic,2026-09-18T13:14:27.801187+00:00,2026-09-18T13:14:27.874207+00:00,50.079,ubuntu-beta,ok,73.129,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.961698}",{},2874,andy-VirtualBox,False
26,cnp_endurance_multivm_20260918T130822Z-task-0000026,detect.synthetic,2026-09-18T13:14:29.816658+00:00,2026-09-18T13:14:30.079987+00:00,52.282,ubuntu-beta,ok,263.541,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.937798}",{},2874,andy-VirtualBox,False
27,cnp_endurance_multivm_20260918T130822Z-task-0000027,correlate.synthetic,2026-09-18T13:14:31.807100+00:00,2026-09-18T13:14:31.909838+00:00,54.11,ubuntu-beta,ok,102.499,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.91978}",{},2874,andy-VirtualBox,False
28,cnp_endurance_multivm_20260918T130822Z-task-0000028,parse.synthetic,2026-09-18T13:14:33.798789+00:00,2026-09-18T13:14:34.029126+00:00,56.235,debian-alpha,ok,230.607,0,"{""debian-alpha"": 0.960081, ""ubuntu-beta"": 0.809}",{},2875,andy,False
29,cnp_endurance_multivm_20260918T130822Z-task-0000029,route.synthetic,2026-09-18T13:14:35.805074+00:00,2026-09-18T13:14:36.247502+00:00,58.454,ubuntu-beta,ok,442.188,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.9645}",{},2874,andy-VirtualBox,False
30,cnp_endurance_multivm_20260918T130822Z-task-0000030,detect.synthetic,2026-09-18T13:14:37.808981+00:00,2026-09-18T13:14:37.963654+00:00,60.157,ubuntu-beta,ok,154.458,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.940288}",{},2874,andy-VirtualBox,False
31,cnp_endurance_multivm_20260918T130822Z-task-0000031,correlate.synthetic,2026-09-18T13:14:39.796691+00:00,2026-09-18T13:14:39.894220+00:00,62.094,ubuntu-beta,ok,96.836,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.922452}",{},2874,andy-VirtualBox,False
32,cnp_endurance_multivm_20260918T130822Z-task-0000032,parse.synthetic,2026-09-18T13:14:41.807521+00:00,2026-09-18T13:14:41.870328+00:00,64.063,debian-alpha,ok,62.699,0,"{""debian-alpha"": 0.962443, ""ubuntu-beta"": 0.809}",{},2875,andy,False
33,cnp_endurance_multivm_20260918T130822Z-task-0000033,route.synthetic,2026-09-18T13:14:43.809346+00:00,2026-09-18T13:14:43.876553+00:00,66.079,ubuntu-beta,ok,67.23,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.966151}",{},2874,andy-VirtualBox,False
34,cnp_endurance_multivm_20260918T130822Z-task-0000034,detect.synthetic,2026-09-18T13:14:45.803027+00:00,2026-09-18T13:14:45.892867+00:00,68.094,ubuntu-beta,ok,89.738,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.942374}",{},2874,andy-VirtualBox,False
35,cnp_endurance_multivm_20260918T130822Z-task-0000035,correlate.synthetic,2026-09-18T13:14:47.801757+00:00,2026-09-18T13:14:47.864010+00:00,70.063,ubuntu-beta,ok,62.642,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.924639}",{},2874,andy-VirtualBox,False
36,cnp_endurance_multivm_20260918T130822Z-task-0000036,parse.synthetic,2026-09-18T13:14:49.805579+00:00,2026-09-18T13:14:49.859981+00:00,72.063,debian-alpha,ok,54.546,0,"{""debian-alpha"": 0.964456, ""ubuntu-beta"": 0.809}",{},2875,andy,False
37,cnp_endurance_multivm_20260918T130822Z-task-0000037,route.synthetic,2026-09-18T13:14:51.800671+00:00,2026-09-18T13:14:51.863689+00:00,74.063,ubuntu-beta,ok,63.426,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.968075}",{},2874,andy-VirtualBox,False
38,cnp_endurance_multivm_20260918T130822Z-task-0000038,detect.synthetic,2026-09-18T13:14:53.804971+00:00,2026-09-18T13:14:53.860801+00:00,76.063,ubuntu-beta,ok,56.175,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.944214}",{},2874,andy-VirtualBox,False
39,cnp_endurance_multivm_20260918T130822Z-task-0000039,correlate.synthetic,2026-09-18T13:14:55.802821+00:00,2026-09-18T13:14:55.857164+00:00,78.063,ubuntu-beta,ok,54.755,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.926488}",{},2874,andy-VirtualBox,False
40,cnp_endurance_multivm_20260918T130822Z-task-0000040,parse.synthetic,2026-09-18T13:14:57.798067+00:00,2026-09-18T13:14:57.855580+00:00,80.047,debian-alpha,ok,57.63,0,"{""debian-alpha"": 0.966128, ""ubuntu-beta"": 0.809}",{},2875,andy,False
41,cnp_endurance_multivm_20260918T130822Z-task-0000041,route.synthetic,2026-09-18T13:14:59.796069+00:00,2026-09-18T13:14:59.862128+00:00,82.063,ubuntu-beta,ok,66.249,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.969641}",{},2874,andy-VirtualBox,False
42,cnp_endurance_multivm_20260918T130822Z-task-0000042,detect.synthetic,2026-09-18T13:15:01.802313+00:00,2026-09-18T13:15:01.858667+00:00,84.063,ubuntu-beta,ok,56.866,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.945799}",{},2874,andy-VirtualBox,False
43,cnp_endurance_multivm_20260918T130822Z-task-0000043,correlate.synthetic,2026-09-18T13:15:03.807957+00:00,2026-09-18T13:15:03.870444+00:00,86.063,ubuntu-beta,ok,62.377,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.928055}",{},2874,andy-VirtualBox,False
44,cnp_endurance_multivm_20260918T130822Z-task-0000044,parse.synthetic,2026-09-18T13:15:05.812176+00:00,2026-09-18T13:15:05.898747+00:00,88.094,debian-alpha,ok,86.209,0,"{""debian-alpha"": 0.967537, ""ubuntu-beta"": 0.809}",{},2875,andy,False
45,cnp_endurance_multivm_20260918T130822Z-task-0000045,route.synthetic,2026-09-18T13:15:07.808192+00:00,2026-09-18T13:15:07.894800+00:00,90.094,ubuntu-beta,ok,86.909,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.970966}",{},2874,andy-VirtualBox,False
46,cnp_endurance_multivm_20260918T130822Z-task-0000046,detect.synthetic,2026-09-18T13:15:09.805321+00:00,2026-09-18T13:15:09.867931+00:00,92.063,ubuntu-beta,ok,63.012,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.947134}",{},2874,andy-VirtualBox,False
47,cnp_endurance_multivm_20260918T130822Z-task-0000047,correlate.synthetic,2026-09-18T13:15:11.808345+00:00,2026-09-18T13:15:11.870491+00:00,94.063,ubuntu-beta,ok,62.348,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.929374}",{},2874,andy-VirtualBox,False
48,cnp_endurance_multivm_20260918T130822Z-task-0000048,parse.synthetic,2026-09-18T13:15:13.801327+00:00,2026-09-18T13:15:13.862980+00:00,96.063,debian-alpha,ok,61.571,0,"{""debian-alpha"": 0.968704, ""ubuntu-beta"": 0.809}",{},2875,andy,False
49,cnp_endurance_multivm_20260918T130822Z-task-0000049,route.synthetic,2026-09-18T13:15:15.841530+00:00,2026-09-18T13:15:17.810287+00:00,100.016,ubuntu-beta,ok,1968.597,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.972091}",{},2874,andy-VirtualBox,False
50,cnp_endurance_multivm_20260918T130822Z-task-0000050,detect.synthetic,2026-09-18T13:15:17.811264+00:00,2026-09-18T13:15:19.707946+00:00,101.907,ubuntu-beta,ok,1897.391,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.948273}",{},2874,andy-VirtualBox,False
51,cnp_endurance_multivm_20260918T130822Z-task-0000051,correlate.synthetic,2026-09-18T13:15:19.802245+00:00,2026-09-18T13:15:20.874028+00:00,103.079,ubuntu-beta,ok,1071.723,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.930489}",{},2874,andy-VirtualBox,False
52,cnp_endurance_multivm_20260918T130822Z-task-0000052,parse.synthetic,2026-09-18T13:15:21.798377+00:00,2026-09-18T13:15:21.987429+00:00,104.188,debian-alpha,ok,189.487,0,"{""debian-alpha"": 0.969736, ""ubuntu-beta"": 0.809}",{},2875,andy,False
53,cnp_endurance_multivm_20260918T130822Z-task-0000053,route.synthetic,2026-09-18T13:15:23.803961+00:00,2026-09-18T13:15:24.012697+00:00,106.204,ubuntu-beta,ok,208.665,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.972704}",{},2874,andy-VirtualBox,False
54,cnp_endurance_multivm_20260918T130822Z-task-0000054,detect.synthetic,2026-09-18T13:15:25.804883+00:00,2026-09-18T13:15:25.888388+00:00,108.094,ubuntu-beta,ok,83.653,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.94745}",{},2874,andy-VirtualBox,False
55,cnp_endurance_multivm_20260918T130822Z-task-0000055,correlate.synthetic,2026-09-18T13:15:27.798730+00:00,2026-09-18T13:15:27.870454+00:00,110.063,ubuntu-beta,ok,71.297,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.930206}",{},2874,andy-VirtualBox,False
56,cnp_endurance_multivm_20260918T130822Z-task-0000056,parse.synthetic,2026-09-18T13:15:29.796156+00:00,2026-09-18T13:15:29.939450+00:00,112.141,debian-alpha,ok,143.268,0,"{""debian-alpha"": 0.970459, ""ubuntu-beta"": 0.809}",{},2875,andy,False
57,cnp_endurance_multivm_20260918T130822Z-task-0000057,route.synthetic,2026-09-18T13:15:31.801599+00:00,2026-09-18T13:15:31.858686+00:00,114.063,ubuntu-beta,ok,57.226,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.973458}",{},2874,andy-VirtualBox,False
58,cnp_endurance_multivm_20260918T130822Z-task-0000058,detect.synthetic,2026-09-18T13:15:33.799034+00:00,2026-09-18T13:15:33.858249+00:00,116.063,ubuntu-beta,ok,59.666,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.948414}",{},2874,andy-VirtualBox,False
59,cnp_endurance_multivm_20260918T130822Z-task-0000059,correlate.synthetic,2026-09-18T13:15:35.799977+00:00,2026-09-18T13:15:35.849357+00:00,118.047,ubuntu-beta,ok,49.608,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.93114}",{},2874,andy-VirtualBox,False
60,cnp_endurance_multivm_20260918T130822Z-task-0000060,parse.synthetic,2026-09-18T13:15:37.805715+00:00,2026-09-18T13:15:37.868789+00:00,120.063,debian-alpha,ok,63.02,0,"{""debian-alpha"": 0.971287, ""ubuntu-beta"": 0.809}",{},2875,andy,False
61,cnp_endurance_multivm_20260918T130822Z-task-0000061,route.synthetic,2026-09-18T13:15:39.808800+00:00,2026-09-18T13:15:39.859540+00:00,122.063,ubuntu-beta,ok,50.73,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.974283}",{},2874,andy-VirtualBox,False
62,cnp_endurance_multivm_20260918T130822Z-task-0000062,detect.synthetic,2026-09-18T13:15:41.799105+00:00,2026-09-18T13:15:41.847340+00:00,124.047,ubuntu-beta,ok,48.54,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.949301}",{},2874,andy-VirtualBox,False
63,cnp_endurance_multivm_20260918T130822Z-task-0000063,correlate.synthetic,2026-09-18T13:15:43.804580+00:00,2026-09-18T13:15:43.855834+00:00,126.047,ubuntu-beta,ok,51.505,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.931987}",{},2874,andy-VirtualBox,False
64,cnp_endurance_multivm_20260918T130822Z-task-0000064,parse.synthetic,2026-09-18T13:15:45.796478+00:00,2026-09-18T13:15:45.845474+00:00,128.047,debian-alpha,ok,48.938,0,"{""debian-alpha"": 0.972023, ""ubuntu-beta"": 0.809}",{},2875,andy,False
65,cnp_endurance_multivm_20260918T130822Z-task-0000065,route.synthetic,2026-09-18T13:15:47.802106+00:00,2026-09-18T13:15:47.855724+00:00,130.047,ubuntu-beta,ok,53.634,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.975011}",{},2874,andy-VirtualBox,False
66,cnp_endurance_multivm_20260918T130822Z-task-0000066,detect.synthetic,2026-09-18T13:15:49.795381+00:00,2026-09-18T13:15:49.854764+00:00,132.047,ubuntu-beta,ok,59.428,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.950091}",{},2874,andy-VirtualBox,False
67,cnp_endurance_multivm_20260918T130822Z-task-0000067,correlate.synthetic,2026-09-18T13:15:51.795289+00:00,2026-09-18T13:15:51.845208+00:00,134.047,ubuntu-beta,ok,50.205,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.932735}",{},2874,andy-VirtualBox,False
68,cnp_endurance_multivm_20260918T130822Z-task-0000068,parse.synthetic,2026-09-18T13:15:53.801290+00:00,2026-09-18T13:15:53.860768+00:00,136.063,debian-alpha,ok,59.227,0,"{""debian-alpha"": 0.972682, ""ubuntu-beta"": 0.809}",{},2875,andy,False
69,cnp_endurance_multivm_20260918T130822Z-task-0000069,route.synthetic,2026-09-18T13:15:55.801398+00:00,2026-09-18T13:15:55.865023+00:00,138.063,ubuntu-beta,ok,63.956,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.975663}",{},2874,andy-VirtualBox,False
70,cnp_endurance_multivm_20260918T130822Z-task-0000070,detect.synthetic,2026-09-18T13:15:57.796664+00:00,2026-09-18T13:15:57.863785+00:00,140.063,ubuntu-beta,ok,67.178,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.950793}",{},2874,andy-VirtualBox,False
71,cnp_endurance_multivm_20260918T130822Z-task-0000071,correlate.synthetic,2026-09-18T13:15:59.805577+00:00,2026-09-18T13:15:59.880909+00:00,142.079,ubuntu-beta,ok,74.711,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.933406}",{},2874,andy-VirtualBox,False
72,cnp_endurance_multivm_20260918T130822Z-task-0000072,parse.synthetic,2026-09-18T13:16:01.804719+00:00,2026-09-18T13:16:01.850328+00:00,144.047,debian-alpha,ok,45.709,0,"{""debian-alpha"": 0.973262, ""ubuntu-beta"": 0.809}",{},2875,andy,False
73,cnp_endurance_multivm_20260918T130822Z-task-0000073,route.synthetic,2026-09-18T13:16:03.806837+00:00,2026-09-18T13:16:03.869763+00:00,146.063,ubuntu-beta,ok,63.162,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.976244}",{},2874,andy-VirtualBox,False
