dataset;subtype;filepath;lineno;recno;timestamp_iso;severity;event;source;component;host;pid;tid;session;user;uid;gid;auid;euid;egid;exe;path;path_all;exec_args;exec_args_all;exec_env_all;src_ip;src_port;dst_ip;dst_port;proto;length;flags;http_method;http_url;http_status;bytes_sent;user_agent;referrer;category;subcategory;message
syslog;syslog;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\syslog.log;1;;2026-06-14T15:16:01+00:00;ERROR;;sshd(pam_unix);sshd(pam_unix);combo;19939;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;syslog;"authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4"
syslog;syslog;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\syslog.log;2;;2026-06-14T15:16:02+00:00;INFO;;sshd(pam_unix);sshd(pam_unix);combo;19937;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;syslog;"check pass; user unknown"
syslog;syslog;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\syslog.log;3;;2026-06-14T15:16:02+00:00;ERROR;;sshd(pam_unix);sshd(pam_unix);combo;19937;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;syslog;"authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4"
syslog;syslog;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\syslog.log;4;;2026-06-15T02:04:59+00:00;ERROR;;sshd(pam_unix);sshd(pam_unix);combo;20882;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;syslog;"authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root"
syslog;syslog;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\syslog.log;5;;2026-06-15T02:04:59+00:00;ERROR;;sshd(pam_unix);sshd(pam_unix);combo;20884;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;syslog;"authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root"
syslog;syslog;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\syslog.log;6;;2026-06-15T02:04:59+00:00;ERROR;;sshd(pam_unix);sshd(pam_unix);combo;20883;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;syslog;"authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root"
syslog;syslog;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\syslog.log;7;;2026-06-15T02:04:59+00:00;ERROR;;sshd(pam_unix);sshd(pam_unix);combo;20885;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;syslog;"authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root"
syslog;syslog;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\syslog.log;8;;2026-06-15T02:04:59+00:00;ERROR;;sshd(pam_unix);sshd(pam_unix);combo;20886;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;syslog;"authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root"
syslog;syslog;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\syslog.log;9;;2026-06-15T02:04:59+00:00;ERROR;;sshd(pam_unix);sshd(pam_unix);combo;20892;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;syslog;"authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root"
syslog;syslog;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\syslog.log;10;;2026-06-15T02:04:59+00:00;ERROR;;sshd(pam_unix);sshd(pam_unix);combo;20893;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;syslog;"authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root"
syslog;syslog;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\syslog.log;11;;2026-06-15T02:04:59+00:00;ERROR;;sshd(pam_unix);sshd(pam_unix);combo;20896;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;syslog;"authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root"
syslog;syslog;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\syslog.log;12;;2026-06-15T02:04:59+00:00;ERROR;;sshd(pam_unix);sshd(pam_unix);combo;20897;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;syslog;"authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root"
syslog;syslog;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\syslog.log;13;;2026-06-15T02:04:59+00:00;ERROR;;sshd(pam_unix);sshd(pam_unix);combo;20898;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;syslog;"authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root"
syslog;syslog;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\syslog.log;14;;2026-06-15T04:06:18+00:00;INFO;;su(pam_unix);su(pam_unix);combo;21416;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;syslog;session opened for user cyrus by (uid=0)
syslog;syslog;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\syslog.log;15;;2026-06-15T04:06:19+00:00;INFO;;su(pam_unix);su(pam_unix);combo;21416;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;syslog;session closed for user cyrus
syslog;syslog;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\syslog.log;16;;2026-06-15T04:06:20+00:00;INFO;;logrotate;logrotate;combo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;syslog;ALERT exited abnormally with [1]
syslog;syslog;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\syslog.log;17;;2026-06-15T04:12:42+00:00;INFO;;su(pam_unix);su(pam_unix);combo;22644;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;syslog;session opened for user news by (uid=0)
syslog;syslog;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\syslog.log;18;;2026-06-15T04:12:43+00:00;INFO;;su(pam_unix);su(pam_unix);combo;22644;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;syslog;session closed for user news
syslog;syslog;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\syslog.log;19;;2026-06-15T12:12:34+00:00;INFO;;sshd(pam_unix);sshd(pam_unix);combo;23397;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;syslog;"check pass; user unknown"
syslog;syslog;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\syslog.log;20;;2026-06-15T12:12:34+00:00;ERROR;;sshd(pam_unix);sshd(pam_unix);combo;23397;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;syslog;"authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4"
syslog;syslog;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\syslog.log;21;;2026-06-15T12:12:34+00:00;INFO;;sshd(pam_unix);sshd(pam_unix);combo;23395;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;syslog;"check pass; user unknown"
syslog;syslog;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\syslog.log;22;;2026-06-15T12:12:34+00:00;ERROR;;sshd(pam_unix);sshd(pam_unix);combo;23395;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;syslog;"authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4"
syslog;syslog;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\syslog.log;23;;2026-06-15T12:12:34+00:00;INFO;;sshd(pam_unix);sshd(pam_unix);combo;23404;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;syslog;"check pass; user unknown"
syslog;syslog;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\syslog.log;24;;2026-06-15T12:12:34+00:00;ERROR;;sshd(pam_unix);sshd(pam_unix);combo;23404;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;syslog;"authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4"
