category,dst_port,event,host,message,proto,severity,source,subcategory,timestamp_iso,user,end_to_end_run_id,source_id,task_id,contract_id,agent_id,model,is_anomaly,anomaly_score,anomaly_rank
,80,,web-sgp-02,User admin success login via sudo,N/A,,sudo,,2024-10-11T16:24:55.730499,admin,multisource_cnp_model_inference_20260911T001644Z,linux_auth,b983d57809114255b06068da0e1480d0,2d62357bfd5d493d818909e7d45627ce,agent-security,models/random_forest_linux_auth.joblib,1,0.6990748713176032,1
,2222,,web-sgp-02,User mysql executed sudo with elevated privileges,N/A,,sudo,,2026-07-04T02:02:01.657068,mysql,multisource_cnp_model_inference_20260911T001644Z,linux_auth,d039a5950fa14b9381a2979d7562ef2f,e043a010e1c64b4ead7128ccdf7b5c86,agent-security,models/random_forest_linux_auth.joblib,1,0.6723989903581021,2
,49377,,backup-prk-01,Port scan detected from 163.113.118.232 on port 49377,TELNET,,login,,2024-02-07T10:13:10.598797,nginx,multisource_cnp_model_inference_20260911T001644Z,linux_auth,94a8b11f76a04486b596455cabbb4d0a,27ba823595304deca8c9d8faf2842261,agent-security,models/random_forest_linux_auth.joblib,1,0.993605217261045,3
,22,,vpn-thr-02,Login from unusual server vpn-thr-02,RDP,,cron,,2026-09-29T23:23:57.548062,nginx,multisource_cnp_model_inference_20260911T001644Z,linux_auth,d9015fc139d04ba5b563ad265ce3eb8c,dcf9f972766b4b1e8a10d1c21068000e,agent-security,models/random_forest_linux_auth.joblib,1,0.731751165186879,4
,80,,proxy-mow-01,Login from unusual server proxy-mow-01,TELNET,,ssh,,2023-10-02T11:33:55.236748,root,multisource_cnp_model_inference_20260911T001644Z,linux_auth,9f32cb317eec4d5a940ad43548030ef0,a4ed3a1ccf14469ca36d3d648fc5968d,agent-security,models/random_forest_linux_auth.joblib,1,0.5593966659378431,5
,22,,srv-tok-03,User admin success login via sudo,N/A,,sudo,,2023-03-03T18:06:28.707041,admin,multisource_cnp_model_inference_20260911T001644Z,linux_auth,14610a1d42bf4307b8b7bcc01bd444f7,5fc9523c4751493a9b7ee19391346176,agent-security,models/random_forest_linux_auth.joblib,1,0.5233832054518123,6
,80,,monitor-car-01,User ec2-user success login via sudo,RDP,,sudo,,2025-11-06T01:00:43.719009,ec2-user,multisource_cnp_model_inference_20260911T001644Z,linux_auth,a288a52e825a4e60ba00b5cfef80ec6d,ce14dd3135e147aaaeb291ec49a1225e,agent-security,models/random_forest_linux_auth.joblib,1,0.5439114678408855,7
,80,,web-sgp-02,User admin success login via sudo,N/A,,sudo,,2026-03-25T08:21:03.068716,admin,multisource_cnp_model_inference_20260911T001644Z,linux_auth,a6e982ba57774a67a26f7687466a8a76,db27c7c839d942e98954757fb6b0863c,agent-security,models/random_forest_linux_auth.joblib,1,0.5016719960041682,8
,80,,backup-prk-01,User nginx success login via sudo,SSH2,,sudo,,2026-02-24T21:38:18.478420,nginx,multisource_cnp_model_inference_20260911T001644Z,linux_auth,ccd8b30cd12444d68d5938637196ae6d,c634fc4aa84f4ec2b11d0436a802a114,agent-security,models/random_forest_linux_auth.joblib,1,0.7989177033421965,9
,80,,vpn-thr-02,User www-data success login via su,TELNET,,su,,2023-06-23T14:36:59.187050,www-data,multisource_cnp_model_inference_20260911T001644Z,linux_auth,57e18898dac7422b82c5e51ed0a39fbb,2e7b8c4617ba4e30b4091602fd34502c,agent-security,models/random_forest_linux_auth.joblib,1,0.5143094965271654,10
