timestamp,source_ip,server,username,service,attempts,status,port,protocol,comment,anomaly_label,delta_t
2023-01-01 00:07:57.033376,67.176.115.47,srv-ldn-02,aaron05,cron,1,Failed,22.0,SSH2,User aaron05 login,normal,
2023-01-01 00:07:57.513396,208.29.23.9,srv-nyc-01,aaron05,ssh,1,Failed,22.0,SSH2,User aaron05 login,normal,0.48002
2023-01-01 00:07:57.616917,51.9.105.35,db-ber-01,aaron05,login,1,Success,22.0,SSH2,User aaron05 login,normal,0.103521
2023-01-01 00:07:57.863105,211.84.76.161,web-sgp-02,aaron05,ssh,1,Failed,22.0,SSH2,User aaron05 login,normal,0.246188
2023-01-01 00:07:57.907535,192.26.238.212,srv-tok-03,aaron05,ssh,1,Success,22.0,SSH2,User aaron05 login,normal,0.04443
2023-01-01 00:07:58.024683,175.215.214.109,srv-ldn-02,aaron05,cron,1,Failed,22.0,SSH2,User aaron05 login,normal,0.117148
2023-01-01 00:07:58.034683,187.50.233.113,db-ber-01,aaron05,login,1,Success,22.0,SSH2,User aaron05 login,normal,0.01
2023-01-01 00:07:58.151670,197.45.89.164,db-ber-01,aaron05,login,1,Success,22.0,SSH2,User aaron05 login,normal,0.116987
2023-01-01 00:07:58.380979,69.82.69.130,web-sgp-02,aaron05,cron,1,Success,22.0,SSH2,User aaron05 login,normal,0.229309
2023-01-01 00:07:58.426934,156.143.7.242,srv-ldn-02,aaron05,ssh,1,Success,22.0,SSH2,User aaron05 login,normal,0.045955
2023-01-01 00:07:58.524062,173.159.157.52,srv-nyc-01,aaron05,cron,1,Failed,22.0,SSH2,User aaron05 login,normal,0.097128
2023-01-01 00:07:58.566891,160.152.191.64,srv-nyc-01,aaron05,login,1,Failed,22.0,SSH2,User aaron05 login,normal,0.042829
2023-01-01 00:07:58.651575,173.5.185.238,srv-tok-03,aaron05,login,1,Success,22.0,SSH2,User aaron05 login,normal,0.084684
2023-01-01 00:07:58.719406,101.30.168.241,srv-tok-03,aaron05,ssh,1,Success,22.0,SSH2,User aaron05 login,normal,0.067831
2023-01-01 00:07:58.810778,64.59.63.53,web-sgp-02,aaron05,login,1,Success,22.0,SSH2,User aaron05 login,normal,0.091372
2023-01-01 00:07:58.892449,178.12.56.16,srv-tok-03,aaron05,ssh,1,Success,22.0,SSH2,User aaron05 login,normal,0.081671
