 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
22,1266342,41,44,2664,6954,456,0,64.97560976,109.864573,976,0,158.0454545,312.6752498,7595.10464,67.12246771,15075.5,104051.3997,948537,0,1266342,31658.55,159355.2595,996324,2,317671,7387.697674,19636.44809,104616,1,0,0,0,0,1328,1424,32.37671972,34.74574799,0,976,111.8372093,239.6868477,57449.78495,0,0,0,1,0,0,0,0,1,113.1529412,64.97560976,158.0454545,1328,0,0,0,0,0,0,41,2664,44,6954,29200,243,24,32,0,0,0,0,0,0,0,0,BENIGN
22,1319353,41,44,2664,6954,456,0,64.97560976,109.864573,976,0,158.0454545,312.6752498,7289.93681,64.42551766,15706.58333,104861.8701,955790,1,1319353,32983.825,159247.9008,996423,1,363429,8451.837209,21337.26261,104815,1,0,0,0,0,1328,1424,31.07583793,33.34967973,0,976,111.8372093,239.6868477,57449.78495,0,0,0,1,0,0,0,0,1,113.1529412,64.97560976,158.0454545,1328,0,0,0,0,0,0,41,2664,44,6954,29200,243,24,32,0,0,0,0,0,0,0,0,BENIGN
22,160,1,1,0,0,0,0,0,0,0,0,0,0,0,12500,160,0,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,6250,6250,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,290,243,0,32,0,0,0,0,0,0,0,0,BENIGN
22,1303488,41,42,2728,6634,456,0,66.53658537,110.1299454,976,0,157.952381,319.1214275,7182.267884,63.6753081,15896.19512,106554.899,956551,0,1303488,32587.2,160397.0499,997357,1,346851,8459.780488,23962.23892,138295,0,0,0,0,0,1328,1360,31.45406785,32.22124024,0,976,111.452381,241.6427915,58391.23867,0,0,0,1,0,0,0,0,1,112.7951807,66.53658537,157.952381,1328,0,0,0,0,0,0,41,2728,42,6634,29200,243,24,32,0,0,0,0,0,0,0,0,BENIGN
35396,77,1,2,0,0,0,0,0,0,0,0,0,0,0,38961.03896,38.5,14.8492424,49,28,0,0,0,0,0,49,49,0,49,49,0,0,0,0,32,64,12987.01299,25974.02597,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,32,0,0,0,0,0,0,1,0,2,0,243,290,0,32,0,0,0,0,0,0,0,0,BENIGN
22,244,1,1,0,0,0,0,0,0,0,0,0,0,0,8196.721311,244,0,244,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4098.360656,4098.360656,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,290,243,0,32,0,0,0,0,0,0,0,0,BENIGN
22,1307239,41,40,2728,6634,456,0,66.53658537,110.1299454,976,0,165.85,325.1423791,7161.659039,61.96265564,16340.4875,107311.8787,956263,0,1307239,32680.975,159066.9939,997887,1,350863,8996.487179,20369.77643,87521,1,0,0,0,0,1328,1296,31.36381335,30.59884229,0,976,114.1707317,243.964772,59518.81,0,0,0,1,0,0,0,0,0,115.5802469,66.53658537,165.85,1328,0,0,0,0,0,0,41,2728,40,6634,29200,243,24,32,0,0,0,0,0,0,0,0,BENIGN
60058,82,1,2,0,0,0,0,0,0,0,0,0,0,0,36585.36585,41,11.3137085,49,33,0,0,0,0,0,49,49,0,49,49,0,0,0,0,32,64,12195.12195,24390.2439,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,32,0,0,0,0,0,0,1,0,2,0,243,290,0,32,0,0,0,0,0,0,0,0,BENIGN
22,171,1,1,0,0,0,0,0,0,0,0,0,0,0,11695.90643,171,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,5847.953216,5847.953216,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,290,243,0,32,0,0,0,0,0,0,0,0,BENIGN
22,210,1,1,0,0,0,0,0,0,0,0,0,0,0,9523.809524,210,0,210,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4761.904762,4761.904762,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,290,243,0,32,0,0,0,0,0,0,0,0,BENIGN
60060,75,1,2,0,0,0,0,0,0,0,0,0,0,0,40000,37.5,14.8492424,48,27,0,0,0,0,0,48,48,0,48,48,0,0,0,0,32,64,13333.33333,26666.66667,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,32,0,0,0,0,0,0,1,0,2,0,243,290,0,32,0,0,0,0,0,0,0,0,BENIGN
35398,77,1,2,0,0,0,0,0,0,0,0,0,0,0,38961.03896,38.5,13.43502884,48,29,0,0,0,0,0,48,48,0,48,48,0,0,0,0,32,64,12987.01299,25974.02597,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,32,0,0,0,0,0,0,1,0,2,0,243,290,0,32,0,0,0,0,0,0,0,0,BENIGN
52320,2,2,0,2071,0,2065,6,1035.5,1455.932862,0,0,0,0,1040000000,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,1,0,0,0,40,0,1000000,0,6,2065,1378.666667,1188.764204,1413160.333,0,1,0,0,1,0,0,0,0,2068,1035.5,0,40,0,0,0,0,0,0,2,2071,0,0,256,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
52320,27701,15,6,18467,24,2920,0,1231.133333,1054.492489,6,0,4,3.098386677,667521.0281,758.0953756,1385.05,5021.180418,22149,1,27701,1978.642857,5966.126957,22149,1,22437,4487.4,9942.670532,22273,2,0,0,0,0,324,144,541.4966969,216.5986787,0,2920,840.5,1041.088247,1083864.738,0,0,0,1,0,0,0,0,0,880.5238095,1231.133333,4,324,0,0,0,0,0,0,15,18467,6,24,8192,357,13,20,0,0,0,0,0,0,0,0,BENIGN
21,152547,19,25,206,480,43,0,10.84210526,11.90360897,51,0,19.2,14.20387271,4496.974703,288.4356952,3547.604651,13902.31648,78771,1,152541,8474.5,28610.66811,120102,3,152408,6350.333333,18298.27859,78771,1,0,0,0,0,404,524,124.5517775,163.8839177,0,51,15.24444444,13.8040764,190.5525253,0,0,0,1,0,0,0,0,1,15.59090909,10.84210526,19.2,404,0,0,0,0,0,0,19,206,25,480,8192,229,17,20,0,0,0,0,0,0,0,0,BENIGN
53235,4,3,0,18,0,6,6,6,0,0,0,0,0,4500000,750000,2,1.414213562,3,1,4,2,1.414213562,3,1,0,0,0,0,0,0,0,0,0,60,0,750000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,8,6,0,60,0,0,0,0,0,0,3,18,0,0,389,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
53234,45,1,2,6,12,6,6,6,0,6,6,6,0,400000,66666.66667,22.5,30.40559159,44,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,20,40,22222.22222,44444.44444,6,6,6,0,0,0,0,0,0,1,1,0,0,2,8,6,6,20,0,0,0,0,0,0,1,6,2,12,229,255,0,20,0,0,0,0,0,0,0,0,BENIGN
123,16506,1,1,48,48,48,48,48,0,48,48,48,0,5816.066885,121.1680601,16506,0,16506,16506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,60.58403005,60.58403005,48,48,48,0,0,0,0,0,0,0,0,0,0,1,72,48,48,20,0,0,0,0,0,0,1,48,1,48,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
53235,94,1,2,6,12,6,6,6,0,6,6,6,0,191489.3617,31914.89362,47,63.63961031,92,2,0,0,0,0,0,2,2,0,2,2,0,0,0,0,20,40,10638.29787,21276.59574,6,6,6,0,0,0,0,0,0,1,1,0,0,2,8,6,6,20,0,0,0,0,0,0,1,6,2,12,389,256,0,20,0,0,0,0,0,0,0,0,BENIGN
