architecture,architecture_label,ci95_high,ci95_low,ci_method,load,max,mean,median,metric,min,n,std
A,monolith,0.001899,0.001073,normal_approximation_1.96,100,0.002792,0.001486,0.001176,duration_sec,0.001002,10,0.000667
A,monolith,91099.912656,62042.501803,normal_approximation_1.96,100,99800.392954,76571.20723,85059.563765,throughput_tasks_sec,35810.206428,10,23440.714593
A,monolith,0.009267,0.005526,normal_approximation_1.96,100,0.013119,0.007397,0.005858,latency_mean_ms,0.005081,10,0.003018
A,monolith,0.007702,0.004708,normal_approximation_1.96,100,0.0104,0.006205,0.005,latency_median_ms,0.0044,10,0.002416
A,monolith,0.019655,0.008806,normal_approximation_1.96,100,0.03442,0.01423,0.011645,latency_p95_ms,0.00681,10,0.008751
A,monolith,0.030523,0.015182,normal_approximation_1.96,100,0.047816,0.022853,0.017403,latency_p99_ms,0.0112,10,0.012376
A,monolith,0.007208,-0.000958,normal_approximation_1.96,100,0.015625,0.003125,0.0,cpu_time_sec,0.0,10,0.006588
A,monolith,510.16741,-93.096718,normal_approximation_1.96,100,1485.407226,208.535346,0.0,cpu_core_equivalent_percent,0.0,10,486.655275
A,monolith,63.770926,-11.63709,normal_approximation_1.96,100,185.675903,26.066918,0.0,cpu_machine_normalized_percent,0.0,10,60.831909
A,monolith,178.459311,177.333657,normal_approximation_1.96,100,178.511719,177.896484,178.222656,rss_peak_mb,175.507812,10,0.908069
A,monolith,0.0,0.0,normal_approximation_1.96,100,0.0,0.0,0.0,messages_per_task,0.0,10,0.0
A,monolith,0.0,0.0,normal_approximation_1.96,100,0.0,0.0,0.0,reassignments,0.0,10,0.0
A,monolith,1.0,1.0,normal_approximation_1.96,100,1.0,1.0,1.0,jain_fairness,1.0,10,0.0
A,monolith,100.0,100.0,normal_approximation_1.96,100,100.0,100.0,100.0,successful_tasks,100.0,10,0.0
A,monolith,0.0,0.0,normal_approximation_1.96,100,0.0,0.0,0.0,failed_tasks,0.0,10,0.0
A,monolith,0.009282,0.006586,normal_approximation_1.96,500,0.010458,0.007934,0.008362,duration_sec,0.004959,10,0.002174
A,monolith,81476.824381,54949.289546,normal_approximation_1.96,500,100820.68181,68213.056963,59798.854601,throughput_tasks_sec,47808.917289,10,21399.854793
A,monolith,0.010062,0.007036,normal_approximation_1.96,500,0.011531,0.008549,0.008838,latency_mean_ms,0.005352,10,0.002441
A,monolith,0.008874,0.005426,normal_approximation_1.96,500,0.01165,0.00715,0.00635,latency_median_ms,0.00425,10,0.002782
A,monolith,0.016808,0.013543,normal_approximation_1.96,500,0.0181,0.015175,0.015753,latency_p95_ms,0.011,10,0.002633
A,monolith,0.028533,0.019585,normal_approximation_1.96,500,0.037635,0.024059,0.02412,latency_p99_ms,0.015901,10,0.007218
A,monolith,0.011251,0.001249,normal_approximation_1.96,500,0.015625,0.00625,0.0,cpu_time_sec,0.0,10,0.008069
A,monolith,160.083432,15.442869,normal_approximation_1.96,500,289.100224,87.763151,0.0,cpu_core_equivalent_percent,0.0,10,116.682046
A,monolith,20.010429,1.930359,normal_approximation_1.96,500,36.137528,10.970394,0.0,cpu_machine_normalized_percent,0.0,10,14.585256
A,monolith,188.578518,184.889451,normal_approximation_1.96,500,188.152344,186.733984,187.572266,rss_peak_mb,178.324219,10,2.975983
A,monolith,0.0,0.0,normal_approximation_1.96,500,0.0,0.0,0.0,messages_per_task,0.0,10,0.0
A,monolith,0.0,0.0,normal_approximation_1.96,500,0.0,0.0,0.0,reassignments,0.0,10,0.0
A,monolith,1.0,1.0,normal_approximation_1.96,500,1.0,1.0,1.0,jain_fairness,1.0,10,0.0
A,monolith,500.0,500.0,normal_approximation_1.96,500,500.0,500.0,500.0,successful_tasks,500.0,10,0.0
A,monolith,0.0,0.0,normal_approximation_1.96,500,0.0,0.0,0.0,failed_tasks,0.0,10,0.0
A,monolith,0.01982,0.012693,normal_approximation_1.96,1000,0.026458,0.016256,0.014736,duration_sec,0.01028,10,0.005749
A,monolith,81107.962042,54864.410823,normal_approximation_1.96,1000,97280.995759,67986.186433,67888.079917,throughput_tasks_sec,37795.466126,10,21170.764221
A,monolith,0.011008,0.006948,normal_approximation_1.96,1000,0.01507,0.008978,0.00816,latency_mean_ms,0.005578,10,0.003275
A,monolith,0.00934,0.00523,normal_approximation_1.96,1000,0.0136,0.007285,0.00535,latency_median_ms,0.0045,10,0.003315
A,monolith,0.018073,0.012578,normal_approximation_1.96,1000,0.02303,0.015326,0.016002,latency_p95_ms,0.0068,10,0.004433
A,monolith,0.050564,0.018119,normal_approximation_1.96,1000,0.099645,0.034342,0.025153,latency_p99_ms,0.016502,10,0.026174
A,monolith,0.022685,0.01169,normal_approximation_1.96,1000,0.03125,0.017188,0.015625,cpu_time_sec,0.0,10,0.008869
A,monolith,128.572613,77.655319,normal_approximation_1.96,1000,150.778257,103.113966,113.156353,cpu_core_equivalent_percent,0.0,10,41.075158
A,monolith,16.071577,9.706915,normal_approximation_1.96,1000,18.847282,12.889246,14.144544,cpu_machine_normalized_percent,0.0,10,5.134395
A,monolith,201.099888,196.377455,normal_approximation_1.96,1000,200.5,198.738672,200.078125,rss_peak_mb,187.988281,10,3.809603
A,monolith,0.0,0.0,normal_approximation_1.96,1000,0.0,0.0,0.0,messages_per_task,0.0,10,0.0
A,monolith,0.0,0.0,normal_approximation_1.96,1000,0.0,0.0,0.0,reassignments,0.0,10,0.0
A,monolith,1.0,1.0,normal_approximation_1.96,1000,1.0,1.0,1.0,jain_fairness,1.0,10,0.0
A,monolith,1000.0,1000.0,normal_approximation_1.96,1000,1000.0,1000.0,1000.0,successful_tasks,1000.0,10,0.0
A,monolith,0.0,0.0,normal_approximation_1.96,1000,0.0,0.0,0.0,failed_tasks,0.0,10,0.0
A,monolith,0.098569,0.046239,normal_approximation_1.96,5000,0.191709,0.072404,0.06159,duration_sec,0.051812,10,0.042215
A,monolith,91713.199022,66789.961059,normal_approximation_1.96,5000,96502.740695,79251.58004,81188.93177,throughput_tasks_sec,26081.195975,10,20105.662916
A,monolith,0.010651,0.005138,normal_approximation_1.96,5000,0.020453,0.007895,0.006802,latency_mean_ms,0.005675,10,0.004448
A,monolith,0.007521,0.003899,normal_approximation_1.96,5000,0.014,0.00571,0.0049,latency_median_ms,0.0044,10,0.002921
A,monolith,0.015212,0.012191,normal_approximation_1.96,5000,0.0192,0.013702,0.01395,latency_p95_ms,0.0107,10,0.002437
A,monolith,0.024,0.016303,normal_approximation_1.96,5000,0.037506,0.020152,0.01855,latency_p99_ms,0.016404,10,0.006209
A,monolith,0.078821,0.049304,normal_approximation_1.96,5000,0.125,0.064062,0.0625,cpu_time_sec,0.046875,10,0.023811
A,monolith,103.112635,83.575829,normal_approximation_1.96,5000,118.723605,93.344232,95.413006,cpu_core_equivalent_percent,65.20299,10,15.760409
A,monolith,12.889079,10.446979,normal_approximation_1.96,5000,14.840451,11.668029,11.926626,cpu_machine_normalized_percent,8.150374,10,1.970051
A,monolith,299.864873,263.721846,normal_approximation_1.96,5000,293.511719,281.79336,291.666016,rss_peak_mb,199.101562,10,29.156705
A,monolith,0.0,0.0,normal_approximation_1.96,5000,0.0,0.0,0.0,messages_per_task,0.0,10,0.0
A,monolith,0.0,0.0,normal_approximation_1.96,5000,0.0,0.0,0.0,reassignments,0.0,10,0.0
A,monolith,1.0,1.0,normal_approximation_1.96,5000,1.0,1.0,1.0,jain_fairness,1.0,10,0.0
A,monolith,5000.0,5000.0,normal_approximation_1.96,5000,5000.0,5000.0,5000.0,successful_tasks,5000.0,10,0.0
A,monolith,0.0,0.0,normal_approximation_1.96,5000,0.0,0.0,0.0,failed_tasks,0.0,10,0.0
B,centralized_workers,0.01281,0.006208,normal_approximation_1.96,100,0.021995,0.009509,0.007485,duration_sec,0.005121,10,0.005327
B,centralized_workers,16053.658559,9713.189652,normal_approximation_1.96,100,19527.817399,12883.424106,13517.730531,throughput_tasks_sec,4546.487823,10,5114.878363
B,centralized_workers,0.018578,0.004606,normal_approximation_1.96,100,0.039946,0.011592,0.005591,latency_mean_ms,0.00503,10,0.011272
B,centralized_workers,0.011406,0.004614,normal_approximation_1.96,100,0.0167,0.00801,0.0048,latency_median_ms,0.004,10,0.005479
B,centralized_workers,0.030252,0.009421,normal_approximation_1.96,100,0.06483,0.019836,0.014648,latency_p95_ms,0.00906,10,0.016805
B,centralized_workers,0.285009,-0.048425,normal_approximation_1.96,100,0.879921,0.118292,0.021586,latency_p99_ms,0.012711,10,0.268982
B,centralized_workers,0.01466,0.000965,normal_approximation_1.96,100,0.03125,0.007812,0.0,cpu_time_sec,0.0,10,0.011049
B,centralized_workers,203.048639,-11.443735,normal_approximation_1.96,100,532.558488,95.802452,0.0,cpu_core_equivalent_percent,0.0,10,173.031746
B,centralized_workers,25.38108,-1.430467,normal_approximation_1.96,100,66.569811,11.975307,0.0,cpu_machine_normalized_percent,0.0,10,21.628968
B,centralized_workers,178.409307,177.421943,normal_approximation_1.96,100,178.53125,177.915625,178.193359,rss_peak_mb,175.878906,10,0.796509
B,centralized_workers,0.0,0.0,normal_approximation_1.96,100,0.0,0.0,0.0,messages_per_task,0.0,10,0.0
B,centralized_workers,0.0,0.0,normal_approximation_1.96,100,0.0,0.0,0.0,reassignments,0.0,10,0.0
B,centralized_workers,0.9998,0.9998,normal_approximation_1.96,100,0.9998,0.9998,0.9998,jain_fairness,0.9998,10,0.0
B,centralized_workers,100.0,100.0,normal_approximation_1.96,100,100.0,100.0,100.0,successful_tasks,100.0,10,0.0
B,centralized_workers,0.0,0.0,normal_approximation_1.96,100,0.0,0.0,0.0,failed_tasks,0.0,10,0.0
B,centralized_workers,0.060824,0.029767,normal_approximation_1.96,500,0.087321,0.045296,0.033335,duration_sec,0.023446,10,0.025053
B,centralized_workers,17419.951975,10192.943159,normal_approximation_1.96,500,21325.59919,13806.447567,15033.787131,throughput_tasks_sec,5725.979805,10,5830.053196
B,centralized_workers,0.013148,0.006691,normal_approximation_1.96,500,0.020033,0.009919,0.007628,latency_mean_ms,0.005863,10,0.005208
B,centralized_workers,0.011484,0.004966,normal_approximation_1.96,500,0.01825,0.008225,0.00545,latency_median_ms,0.0048,10,0.005257
B,centralized_workers,0.021853,0.013612,normal_approximation_1.96,500,0.03228,0.017733,0.016252,latency_p95_ms,0.0086,10,0.006649
B,centralized_workers,0.041755,0.020169,normal_approximation_1.96,500,0.072833,0.030962,0.024467,latency_p99_ms,0.017104,10,0.017413
B,centralized_workers,0.073,0.030125,normal_approximation_1.96,500,0.109375,0.051562,0.039062,cpu_time_sec,0.015625,10,0.034587
B,centralized_workers,129.207429,89.781233,normal_approximation_1.96,500,151.775285,109.494331,122.172128,cpu_core_equivalent_percent,49.238962,10,31.80525
B,centralized_workers,16.150929,11.222654,normal_approximation_1.96,500,18.971911,13.686791,15.271516,cpu_machine_normalized_percent,6.15487,10,3.975656
B,centralized_workers,188.661112,185.1342,normal_approximation_1.96,500,188.265625,186.897656,187.712891,rss_peak_mb,178.847656,10,2.845172
B,centralized_workers,0.0,0.0,normal_approximation_1.96,500,0.0,0.0,0.0,messages_per_task,0.0,10,0.0
B,centralized_workers,0.0,0.0,normal_approximation_1.96,500,0.0,0.0,0.0,reassignments,0.0,10,0.0
B,centralized_workers,0.999992,0.999992,normal_approximation_1.96,500,0.999992,0.999992,0.999992,jain_fairness,0.999992,10,0.0
B,centralized_workers,500.0,500.0,normal_approximation_1.96,500,500.0,500.0,500.0,successful_tasks,500.0,10,0.0
B,centralized_workers,0.0,0.0,normal_approximation_1.96,500,0.0,0.0,0.0,failed_tasks,0.0,10,0.0
B,centralized_workers,0.127221,0.085345,normal_approximation_1.96,1000,0.156027,0.106283,0.104371,duration_sec,0.058898,10,0.033781
B,centralized_workers,12726.236547,8135.961722,normal_approximation_1.96,1000,16978.418718,10431.099135,9582.495764,throughput_tasks_sec,6409.147138,10,3702.990697
B,centralized_workers,0.014913,0.010214,normal_approximation_1.96,1000,0.0167,0.012563,0.01305,latency_mean_ms,0.005905,10,0.003791
B,centralized_workers,0.012521,0.008409,normal_approximation_1.96,1000,0.0147,0.010465,0.01075,latency_median_ms,0.0048,10,0.003317
B,centralized_workers,0.025909,0.018839,normal_approximation_1.96,1000,0.02991,0.022374,0.024052,latency_p95_ms,0.01191,10,0.005703
B,centralized_workers,0.04722,0.028938,normal_approximation_1.96,1000,0.062015,0.038079,0.03683,latency_p99_ms,0.016501,10,0.014748
B,centralized_workers,0.130844,0.084781,normal_approximation_1.96,1000,0.15625,0.107813,0.101562,cpu_time_sec,0.0625,10,0.037158
B,centralized_workers,108.932399,94.210508,normal_approximation_1.96,1000,118.114314,101.571454,105.987121,cpu_core_equivalent_percent,76.571367,10,11.8762
B,centralized_workers,13.61655,11.776314,normal_approximation_1.96,1000,14.764289,12.696432,13.24839,cpu_machine_normalized_percent,9.571421,10,1.484525
B,centralized_workers,201.279621,196.729754,normal_approximation_1.96,1000,200.800781,199.004688,200.066406,rss_peak_mb,188.617188,10,3.670393
B,centralized_workers,0.0,0.0,normal_approximation_1.96,1000,0.0,0.0,0.0,messages_per_task,0.0,10,0.0
B,centralized_workers,0.0,0.0,normal_approximation_1.96,1000,0.0,0.0,0.0,reassignments,0.0,10,0.0
B,centralized_workers,0.999998,0.999998,normal_approximation_1.96,1000,0.999998,0.999998,0.999998,jain_fairness,0.999998,10,0.0
B,centralized_workers,1000.0,1000.0,normal_approximation_1.96,1000,1000.0,1000.0,1000.0,successful_tasks,1000.0,10,0.0
B,centralized_workers,0.0,0.0,normal_approximation_1.96,1000,0.0,0.0,0.0,failed_tasks,0.0,10,0.0
B,centralized_workers,0.388573,0.300987,normal_approximation_1.96,5000,0.500817,0.34478,0.321427,duration_sec,0.272316,10,0.070655
B,centralized_workers,16563.553589,13374.664461,normal_approximation_1.96,5000,18361.035242,14969.109025,15555.69396,throughput_tasks_sec,9983.690644,10,2572.487972
B,centralized_workers,0.022938,0.011234,normal_approximation_1.96,5000,0.038699,0.017086,0.013765,latency_mean_ms,0.007521,10,0.009442
B,centralized_workers,0.009626,0.006534,normal_approximation_1.96,5000,0.0139,0.00808,0.0077,latency_median_ms,0.0053,10,0.002495
B,centralized_workers,0.020765,0.017236,normal_approximation_1.96,5000,0.0249,0.019001,0.0191,latency_p95_ms,0.0152,10,0.002847
B,centralized_workers,0.031535,0.02541,normal_approximation_1.96,5000,0.039103,0.028472,0.026702,latency_p99_ms,0.022201,10,0.004941
B,centralized_workers,0.396602,0.303398,normal_approximation_1.96,5000,0.515625,0.35,0.34375,cpu_time_sec,0.25,10,0.075188
B,centralized_workers,106.831658,96.32062,normal_approximation_1.96,5000,111.609861,101.576139,100.84951,cpu_core_equivalent_percent,90.535049,10,8.47929
B,centralized_workers,13.353957,12.040078,normal_approximation_1.96,5000,13.951233,12.697017,12.606189,cpu_machine_normalized_percent,11.316881,10,1.059911
B,centralized_workers,300.910595,266.083155,normal_approximation_1.96,5000,294.113281,283.496875,292.203125,rss_peak_mb,203.617188,10,28.095417
B,centralized_workers,0.0,0.0,normal_approximation_1.96,5000,0.0,0.0,0.0,messages_per_task,0.0,10,0.0
B,centralized_workers,0.0,0.0,normal_approximation_1.96,5000,0.0,0.0,0.0,reassignments,0.0,10,0.0
B,centralized_workers,1.0,1.0,normal_approximation_1.96,5000,1.0,1.0,1.0,jain_fairness,1.0,10,0.0
B,centralized_workers,5000.0,5000.0,normal_approximation_1.96,5000,5000.0,5000.0,5000.0,successful_tasks,5000.0,10,0.0
B,centralized_workers,0.0,0.0,normal_approximation_1.96,5000,0.0,0.0,0.0,failed_tasks,0.0,10,0.0
C,autonomous_memory_off,0.112214,0.06451,normal_approximation_1.96,100,0.181147,0.088362,0.079959,duration_sec,0.053507,10,0.038483
C,autonomous_memory_off,1552.045599,1022.167866,normal_approximation_1.96,100,1868.90387,1287.106733,1254.969738,throughput_tasks_sec,552.036324,10,427.454214
C,autonomous_memory_off,1.631417,1.172197,normal_approximation_1.96,100,1.87429,1.401807,1.349145,latency_mean_ms,1.00496,10,0.370454
C,autonomous_memory_off,0.572068,0.415632,normal_approximation_1.96,100,0.808,0.49385,0.43225,latency_median_ms,0.4005,10,0.126198
C,autonomous_memory_off,1.705609,1.099711,normal_approximation_1.96,100,2.4864,1.40266,1.273475,latency_p95_ms,0.92275,10,0.48878
C,autonomous_memory_off,30.110307,19.229405,normal_approximation_1.96,100,38.20181,24.669856,24.80494,latency_p99_ms,10.56203,10,8.777662
C,autonomous_memory_off,0.095542,0.066958,normal_approximation_1.96,100,0.125,0.08125,0.085938,cpu_time_sec,0.046875,10,0.023058
C,autonomous_memory_off,108.932652,85.320956,normal_approximation_1.96,100,124.567667,97.126804,101.279939,cpu_core_equivalent_percent,51.753405,10,19.047637
C,autonomous_memory_off,13.616581,10.66512,normal_approximation_1.96,100,15.570958,12.140851,12.659992,cpu_machine_normalized_percent,6.469176,10,2.380955
C,autonomous_memory_off,178.378052,177.832104,normal_approximation_1.96,100,178.601562,178.105078,178.248046,rss_peak_mb,177.300781,10,0.440418
C,autonomous_memory_off,10.0,10.0,normal_approximation_1.96,100,10.0,10.0,10.0,messages_per_task,10.0,10,0.0
C,autonomous_memory_off,0.0,0.0,normal_approximation_1.96,100,0.0,0.0,0.0,reassignments,0.0,10,0.0
C,autonomous_memory_off,0.88766,0.832968,normal_approximation_1.96,100,0.888889,0.860314,0.888889,jain_fairness,0.77918,10,0.044121
C,autonomous_memory_off,100.0,100.0,normal_approximation_1.96,100,100.0,100.0,100.0,successful_tasks,100.0,10,0.0
C,autonomous_memory_off,0.0,0.0,normal_approximation_1.96,100,0.0,0.0,0.0,failed_tasks,0.0,10,0.0
C,autonomous_memory_off,0.50255,0.412346,normal_approximation_1.96,500,0.583155,0.457448,0.439962,duration_sec,0.366318,10,0.072767
C,autonomous_memory_off,1219.837088,1013.411471,normal_approximation_1.96,500,1364.934292,1116.62428,1136.715425,throughput_tasks_sec,857.404978,10,166.524264
C,autonomous_memory_off,2.021434,1.150012,normal_approximation_1.96,500,2.344312,1.585723,1.904793,latency_mean_ms,0.68976,10,0.702979
C,autonomous_memory_off,0.661209,0.501491,normal_approximation_1.96,500,0.835,0.58135,0.54975,latency_median_ms,0.456,10,0.128846
C,autonomous_memory_off,4.428355,0.618665,normal_approximation_1.96,500,11.2507,2.52351,1.50655,latency_p95_ms,1.34205,10,3.07329
C,autonomous_memory_off,41.237613,12.160467,normal_approximation_1.96,500,64.38579,26.69904,32.41737,latency_p99_ms,1.55628,10,23.456635
C,autonomous_memory_off,0.502986,0.409514,normal_approximation_1.96,500,0.578125,0.45625,0.4375,cpu_time_sec,0.34375,10,0.075404
C,autonomous_memory_off,104.289302,95.348196,normal_approximation_1.96,500,118.978835,99.818749,98.555456,cpu_core_equivalent_percent,93.839233,10,7.212822
C,autonomous_memory_off,13.036163,11.918524,normal_approximation_1.96,500,14.872354,12.477343,12.319432,cpu_machine_normalized_percent,11.729904,10,0.901603
C,autonomous_memory_off,188.50889,186.630173,normal_approximation_1.96,500,188.386719,187.569531,187.927734,rss_peak_mb,183.292969,10,1.515568
C,autonomous_memory_off,10.0,10.0,normal_approximation_1.96,500,10.0,10.0,10.0,messages_per_task,10.0,10,0.0
C,autonomous_memory_off,0.0,0.0,normal_approximation_1.96,500,0.0,0.0,0.0,reassignments,0.0,10,0.0
C,autonomous_memory_off,0.935019,0.899502,normal_approximation_1.96,500,0.952925,0.917261,0.91066,jain_fairness,0.888889,10,0.028652
C,autonomous_memory_off,500.0,500.0,normal_approximation_1.96,500,500.0,500.0,500.0,successful_tasks,500.0,10,0.0
C,autonomous_memory_off,0.0,0.0,normal_approximation_1.96,500,0.0,0.0,0.0,failed_tasks,0.0,10,0.0
C,autonomous_memory_off,1.188998,0.893317,normal_approximation_1.96,1000,1.439813,1.041157,0.992688,duration_sec,0.693768,10,0.238526
C,autonomous_memory_off,1151.58554,863.113695,normal_approximation_1.96,1000,1441.403627,1007.349618,1009.535961,throughput_tasks_sec,694.534541,10,232.711242
C,autonomous_memory_off,1.232264,0.676766,normal_approximation_1.96,1000,2.11961,0.954515,0.812485,latency_mean_ms,0.565837,10,0.448123
C,autonomous_memory_off,0.654782,0.536618,normal_approximation_1.96,1000,0.774,0.5957,0.5615,latency_median_ms,0.482,10,0.095323
C,autonomous_memory_off,2.33711,1.30658,normal_approximation_1.96,1000,3.93805,1.821845,1.607725,latency_p95_ms,1.08225,10,0.831332
C,autonomous_memory_off,12.172124,-0.637986,normal_approximation_1.96,1000,35.09612,5.767069,2.66033,latency_p99_ms,1.33215,10,10.33396
C,autonomous_memory_off,1.119948,0.883177,normal_approximation_1.96,1000,1.421875,1.001562,0.945312,cpu_time_sec,0.765625,10,0.191005
C,autonomous_memory_off,101.790616,92.769717,normal_approximation_1.96,1000,110.357465,97.280166,97.211099,cpu_core_equivalent_percent,88.200704,10,7.27719
C,autonomous_memory_off,12.723827,11.596214,normal_approximation_1.96,1000,13.794683,12.160021,12.151387,cpu_machine_normalized_percent,11.025088,10,0.909649
C,autonomous_memory_off,201.188431,197.117037,normal_approximation_1.96,1000,200.875,199.152734,200.158203,rss_peak_mb,189.882812,10,3.284407
C,autonomous_memory_off,10.0,10.0,normal_approximation_1.96,1000,10.0,10.0,10.0,messages_per_task,10.0,10,0.0
C,autonomous_memory_off,0.0,0.0,normal_approximation_1.96,1000,0.0,0.0,0.0,reassignments,0.0,10,0.0
C,autonomous_memory_off,0.890726,0.88845,normal_approximation_1.96,1000,0.894706,0.889588,0.888889,jain_fairness,0.888884,10,0.001836
C,autonomous_memory_off,1000.0,1000.0,normal_approximation_1.96,1000,1000.0,1000.0,1000.0,successful_tasks,1000.0,10,0.0
C,autonomous_memory_off,0.0,0.0,normal_approximation_1.96,1000,0.0,0.0,0.0,failed_tasks,0.0,10,0.0
C,autonomous_memory_off,4.192227,3.891982,normal_approximation_1.96,5000,4.52973,4.042104,3.988093,duration_sec,3.689498,10,0.242209
C,autonomous_memory_off,1285.815818,1195.945258,normal_approximation_1.96,5000,1355.197953,1240.880538,1253.874514,throughput_tasks_sec,1103.818623,10,72.498893
C,autonomous_memory_off,1.266585,0.562189,normal_approximation_1.96,5000,2.454078,0.914387,0.675566,latency_mean_ms,0.644092,10,0.568239
C,autonomous_memory_off,0.876444,0.391056,normal_approximation_1.96,5000,1.74,0.63375,0.4955,latency_median_ms,0.484,10,0.391564
C,autonomous_memory_off,2.589812,1.001158,normal_approximation_1.96,5000,4.79615,1.795485,1.23065,latency_p95_ms,1.13905,10,1.281573
C,autonomous_memory_off,3.863482,1.299,normal_approximation_1.96,5000,7.3648,2.581241,1.69101,latency_p99_ms,1.46106,10,2.068777
C,autonomous_memory_off,4.278956,3.967919,normal_approximation_1.96,5000,4.625,4.123437,4.0625,cpu_time_sec,3.796875,10,0.250915
C,autonomous_memory_off,102.521032,101.500703,normal_approximation_1.96,5000,103.611278,102.010867,101.558729,cpu_core_equivalent_percent,101.326811,10,0.823103
C,autonomous_memory_off,12.815129,12.687588,normal_approximation_1.96,5000,12.95141,12.751358,12.694841,cpu_machine_normalized_percent,12.665851,10,0.102888
