architecture,architecture_label,ci95_high,ci95_low,ci_method,load,max,mean,median,metric,min,n,std
A,monolith,0.0001,0.0001,normal_approximation_1.96,4,0.0001,0.0001,0.0001,duration_sec,0.0001,1,0.0
A,monolith,39840.657455,39840.657455,normal_approximation_1.96,4,39840.657455,39840.657455,39840.657455,throughput_tasks_sec,39840.657455,1,0.0
A,monolith,0.009475,0.009475,normal_approximation_1.96,4,0.009475,0.009475,0.009475,latency_mean_ms,0.009475,1,0.0
A,monolith,0.00655,0.00655,normal_approximation_1.96,4,0.00655,0.00655,0.00655,latency_median_ms,0.00655,1,0.0
A,monolith,0.01777,0.01777,normal_approximation_1.96,4,0.01777,0.01777,0.01777,latency_p95_ms,0.01777,1,0.0
A,monolith,0.019234,0.019234,normal_approximation_1.96,4,0.019234,0.019234,0.019234,latency_p99_ms,0.019234,1,0.0
A,monolith,0.0,0.0,normal_approximation_1.96,4,0.0,0.0,0.0,cpu_time_sec,0.0,1,0.0
A,monolith,0.0,0.0,normal_approximation_1.96,4,0.0,0.0,0.0,cpu_core_equivalent_percent,0.0,1,0.0
A,monolith,0.0,0.0,normal_approximation_1.96,4,0.0,0.0,0.0,cpu_machine_normalized_percent,0.0,1,0.0
A,monolith,175.984375,175.984375,normal_approximation_1.96,4,175.984375,175.984375,175.984375,rss_peak_mb,175.984375,1,0.0
A,monolith,0.0,0.0,normal_approximation_1.96,4,0.0,0.0,0.0,messages_per_task,0.0,1,0.0
A,monolith,0.0,0.0,normal_approximation_1.96,4,0.0,0.0,0.0,reassignments,0.0,1,0.0
A,monolith,1.0,1.0,normal_approximation_1.96,4,1.0,1.0,1.0,jain_fairness,1.0,1,0.0
A,monolith,4.0,4.0,normal_approximation_1.96,4,4.0,4.0,4.0,successful_tasks,4.0,1,0.0
A,monolith,0.0,0.0,normal_approximation_1.96,4,0.0,0.0,0.0,failed_tasks,0.0,1,0.0
B,centralized_workers,0.003446,0.003446,normal_approximation_1.96,4,0.003446,0.003446,0.003446,duration_sec,0.003446,1,0.0
B,centralized_workers,1160.665045,1160.665045,normal_approximation_1.96,4,1160.665045,1160.665045,1160.665045,throughput_tasks_sec,1160.665045,1,0.0
B,centralized_workers,0.020125,0.020125,normal_approximation_1.96,4,0.020125,0.020125,0.020125,latency_mean_ms,0.020125,1,0.0
B,centralized_workers,0.01945,0.01945,normal_approximation_1.96,4,0.01945,0.01945,0.01945,latency_median_ms,0.01945,1,0.0
B,centralized_workers,0.02248,0.02248,normal_approximation_1.96,4,0.02248,0.02248,0.02248,latency_p95_ms,0.02248,1,0.0
B,centralized_workers,0.022816,0.022816,normal_approximation_1.96,4,0.022816,0.022816,0.022816,latency_p99_ms,0.022816,1,0.0
B,centralized_workers,0.0,0.0,normal_approximation_1.96,4,0.0,0.0,0.0,cpu_time_sec,0.0,1,0.0
B,centralized_workers,0.0,0.0,normal_approximation_1.96,4,0.0,0.0,0.0,cpu_core_equivalent_percent,0.0,1,0.0
B,centralized_workers,0.0,0.0,normal_approximation_1.96,4,0.0,0.0,0.0,cpu_machine_normalized_percent,0.0,1,0.0
B,centralized_workers,176.085938,176.085938,normal_approximation_1.96,4,176.085938,176.085938,176.085938,rss_peak_mb,176.085938,1,0.0
B,centralized_workers,0.0,0.0,normal_approximation_1.96,4,0.0,0.0,0.0,messages_per_task,0.0,1,0.0
B,centralized_workers,0.0,0.0,normal_approximation_1.96,4,0.0,0.0,0.0,reassignments,0.0,1,0.0
B,centralized_workers,0.888889,0.888889,normal_approximation_1.96,4,0.888889,0.888889,0.888889,jain_fairness,0.888889,1,0.0
B,centralized_workers,4.0,4.0,normal_approximation_1.96,4,4.0,4.0,4.0,successful_tasks,4.0,1,0.0
B,centralized_workers,0.0,0.0,normal_approximation_1.96,4,0.0,0.0,0.0,failed_tasks,0.0,1,0.0
C,autonomous_memory_off,0.005608,0.005608,normal_approximation_1.96,4,0.005608,0.005608,0.005608,duration_sec,0.005608,1,0.0
C,autonomous_memory_off,713.215893,713.215893,normal_approximation_1.96,4,713.215893,713.215893,713.215893,throughput_tasks_sec,713.215893,1,0.0
C,autonomous_memory_off,0.61575,0.61575,normal_approximation_1.96,4,0.61575,0.61575,0.61575,latency_mean_ms,0.61575,1,0.0
C,autonomous_memory_off,0.606,0.606,normal_approximation_1.96,4,0.606,0.606,0.606,latency_median_ms,0.606,1,0.0
C,autonomous_memory_off,0.77715,0.77715,normal_approximation_1.96,4,0.77715,0.77715,0.77715,latency_p95_ms,0.77715,1,0.0
C,autonomous_memory_off,0.78423,0.78423,normal_approximation_1.96,4,0.78423,0.78423,0.78423,latency_p99_ms,0.78423,1,0.0
C,autonomous_memory_off,0.015625,0.015625,normal_approximation_1.96,4,0.015625,0.015625,0.015625,cpu_time_sec,0.015625,1,0.0
C,autonomous_memory_off,278.599958,278.599958,normal_approximation_1.96,4,278.599958,278.599958,278.599958,cpu_core_equivalent_percent,278.599958,1,0.0
C,autonomous_memory_off,34.824995,34.824995,normal_approximation_1.96,4,34.824995,34.824995,34.824995,cpu_machine_normalized_percent,34.824995,1,0.0
C,autonomous_memory_off,176.15625,176.15625,normal_approximation_1.96,4,176.15625,176.15625,176.15625,rss_peak_mb,176.15625,1,0.0
C,autonomous_memory_off,10.0,10.0,normal_approximation_1.96,4,10.0,10.0,10.0,messages_per_task,10.0,1,0.0
C,autonomous_memory_off,0.0,0.0,normal_approximation_1.96,4,0.0,0.0,0.0,reassignments,0.0,1,0.0
C,autonomous_memory_off,0.888889,0.888889,normal_approximation_1.96,4,0.888889,0.888889,0.888889,jain_fairness,0.888889,1,0.0
C,autonomous_memory_off,4.0,4.0,normal_approximation_1.96,4,4.0,4.0,4.0,successful_tasks,4.0,1,0.0
C,autonomous_memory_off,0.0,0.0,normal_approximation_1.96,4,0.0,0.0,0.0,failed_tasks,0.0,1,0.0
D,autonomous_memory_on,0.006496,0.006496,normal_approximation_1.96,4,0.006496,0.006496,0.006496,duration_sec,0.006496,1,0.0
D,autonomous_memory_on,615.725634,615.725634,normal_approximation_1.96,4,615.725634,615.725634,615.725634,throughput_tasks_sec,615.725634,1,0.0
D,autonomous_memory_on,0.94225,0.94225,normal_approximation_1.96,4,0.94225,0.94225,0.94225,latency_mean_ms,0.94225,1,0.0
D,autonomous_memory_on,0.9085,0.9085,normal_approximation_1.96,4,0.9085,0.9085,0.9085,latency_median_ms,0.9085,1,0.0
D,autonomous_memory_on,1.35485,1.35485,normal_approximation_1.96,4,1.35485,1.35485,1.35485,latency_p95_ms,1.35485,1,0.0
D,autonomous_memory_on,1.37177,1.37177,normal_approximation_1.96,4,1.37177,1.37177,1.37177,latency_p99_ms,1.37177,1,0.0
D,autonomous_memory_on,0.015625,0.015625,normal_approximation_1.96,4,0.015625,0.015625,0.015625,cpu_time_sec,0.015625,1,0.0
D,autonomous_memory_on,240.517826,240.517826,normal_approximation_1.96,4,240.517826,240.517826,240.517826,cpu_core_equivalent_percent,240.517826,1,0.0
D,autonomous_memory_on,30.064728,30.064728,normal_approximation_1.96,4,30.064728,30.064728,30.064728,cpu_machine_normalized_percent,30.064728,1,0.0
D,autonomous_memory_on,176.230469,176.230469,normal_approximation_1.96,4,176.230469,176.230469,176.230469,rss_peak_mb,176.230469,1,0.0
D,autonomous_memory_on,10.0,10.0,normal_approximation_1.96,4,10.0,10.0,10.0,messages_per_task,10.0,1,0.0
D,autonomous_memory_on,0.0,0.0,normal_approximation_1.96,4,0.0,0.0,0.0,reassignments,0.0,1,0.0
D,autonomous_memory_on,0.888889,0.888889,normal_approximation_1.96,4,0.888889,0.888889,0.888889,jain_fairness,0.888889,1,0.0
D,autonomous_memory_on,4.0,4.0,normal_approximation_1.96,4,4.0,4.0,4.0,successful_tasks,4.0,1,0.0
D,autonomous_memory_on,0.0,0.0,normal_approximation_1.96,4,0.0,0.0,0.0,failed_tasks,0.0,1,0.0
