run_id,source_id,source_group,true_family,predicted_family,original_family,rejected,top_score,second_score,decision_margin,compatible_rule_count,rejection_reasons,decision_margin_is_probability
final_router_open_set_20260911T000746Z,win_app_live,windows_host_current,windows,windows,windows,False,217.0,97.0,120.0,12,,False
final_router_open_set_20260911T000746Z,win_system_live,windows_host_current,windows,windows,windows,False,167.0,42.0,125.0,7,,False
final_router_open_set_20260911T000746Z,win_security_admin,windows_host_current,windows,windows,windows,False,217.0,77.0,140.0,10,,False
final_router_open_set_20260911T000746Z,win_app_20260518,windows_host_snapshots,windows,windows,windows,False,217.0,97.0,120.0,12,,False
final_router_open_set_20260911T000746Z,win_system_20260518,windows_host_snapshots,windows,windows,windows,False,167.0,42.0,125.0,7,,False
final_router_open_set_20260911T000746Z,win_app_20260529,windows_host_snapshots,windows,windows,windows,False,167.0,97.0,70.0,10,,False
final_router_open_set_20260911T000746Z,win_system_20260529,windows_host_snapshots,windows,windows,windows,False,167.0,42.0,125.0,7,,False
final_router_open_set_20260911T000746Z,linux_auth_balanced,linux_auth_generated_corpus,linux_auth,linux_auth,linux_auth,False,158.0,75.0,83.0,5,,False
final_router_open_set_20260911T000746Z,linux_auth_unbalanced,linux_auth_generated_corpus,linux_auth,linux_auth,linux_auth,False,158.0,75.0,83.0,5,,False
final_router_open_set_20260911T000746Z,linux_auth_multiple,linux_auth_generated_corpus,linux_auth,linux_auth,linux_auth,False,169.0,91.0,78.0,8,,False
final_router_open_set_20260911T000746Z,linux_2k,loghub_linux,linux,linux,linux,False,233.0,35.0,198.0,6,,False
final_router_open_set_20260911T000746Z,wazuh_oct_01_05,wazuh_october_exports,wazuh,wazuh,wazuh,False,266.0,35.0,231.0,8,,False
final_router_open_set_20260911T000746Z,wazuh_oct_05_p1,wazuh_october_exports,wazuh,wazuh,wazuh,False,266.0,35.0,231.0,7,,False
final_router_open_set_20260911T000746Z,wazuh_oct_05_p2,wazuh_october_exports,wazuh,wazuh,wazuh,False,266.0,35.0,231.0,7,,False
final_router_open_set_20260911T000746Z,wazuh_oct_06_20,wazuh_october_exports,wazuh,wazuh,wazuh,False,266.0,35.0,231.0,9,,False
final_router_open_set_20260911T000746Z,wazuh_oct_20_22,wazuh_october_exports,wazuh,wazuh,wazuh,False,266.0,35.0,231.0,7,,False
final_router_open_set_20260911T000746Z,wazuh_oct_20_p1,wazuh_october_exports,wazuh,wazuh,wazuh,False,266.0,47.0,219.0,9,,False
final_router_open_set_20260911T000746Z,wazuh_oct_20_p2,wazuh_october_exports,wazuh,wazuh,wazuh,False,266.0,35.0,231.0,7,,False
final_router_open_set_20260911T000746Z,hdfs_loghub,loghub_hdfs_v1,hdfs,hdfs,hdfs,False,135.0,52.0,83.0,8,,False
final_router_open_set_20260911T000746Z,bgl_loghub,loghub_bgl,bgl,bgl,bgl,False,103.0,70.0,33.0,8,,False
final_router_open_set_20260911T000746Z,cicids_monday,cicids2017,network_cicids,network_cicids,network_cicids,False,192.0,44.0,148.0,4,,False
final_router_open_set_20260911T000746Z,cicids_tuesday,cicids2017,network_cicids,network_cicids,network_cicids,False,192.0,44.0,148.0,4,,False
final_router_open_set_20260911T000746Z,cicids_wednesday,cicids2017,network_cicids,network_cicids,network_cicids,False,192.0,44.0,148.0,4,,False
final_router_open_set_20260911T000746Z,cicids_thursday_web,cicids2017,network_cicids,network_cicids,network_cicids,False,192.0,44.0,148.0,4,,False
final_router_open_set_20260911T000746Z,cicids_thursday_infiltration,cicids2017,network_cicids,network_cicids,network_cicids,False,192.0,44.0,148.0,4,,False
final_router_open_set_20260911T000746Z,cicids_friday_morning,cicids2017,network_cicids,network_cicids,network_cicids,False,192.0,44.0,148.0,4,,False
final_router_open_set_20260911T000746Z,cicids_friday_portscan,cicids2017,network_cicids,network_cicids,network_cicids,False,192.0,44.0,148.0,4,,False
final_router_open_set_20260911T000746Z,cicids_friday_ddos,cicids2017,network_cicids,network_cicids,network_cicids,False,192.0,44.0,148.0,4,,False
final_router_open_set_20260911T000746Z,open_cloud_service,local_open_set_fixtures,unknown_family,unknown,network,True,84.0,8.0,76.0,2,top_score_below_threshold,False
final_router_open_set_20260911T000746Z,open_dns,local_open_set_fixtures,unknown_family,unknown,network,True,12.0,1.0,11.0,1,top_score_below_threshold,False
final_router_open_set_20260911T000746Z,open_virtualization,local_open_set_fixtures,unknown_family,unknown,network,True,84.0,8.0,76.0,2,top_score_below_threshold,False
